GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ESA001
"G11000100001101","1990","DC","99","9999","9999","9999","99","9","101","1","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000568","0000000000","Block 101","S","+38915733","-077063613",,218
"G11000100001102","1990","DC","99","9999","9999","9999","99","9","102","1","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000028","0000000000","Block 102","S","+38914050","-077065762",,12
"G11000100001103","1990","DC","99","9999","9999","9999","99","9","103","1","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000023","0000000000","Block 103","S","+38912900","-077065466",,20
"G11000100001104","1990","DC","99","9999","9999","9999","99","9","104","1","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000030","0000000000","Block 104","S","+38911300","-077064893",,54
"G11000100001105","1990","DC","99","9999","9999","9999","99","9","105","1","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000008","0000000000","Block 105","S","+38912150","-077064699",,26
"G11000100001106","1990","DC","99","9999","9999","9999","99","9","106","1","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000043","0000000000","Block 106","S","+38910750","-077063107",,55
"G11000100001107","1990","DC","99","9999","9999","9999","99","9","107","1","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000027","0000000000","Block 107","S","+38912200","-077061891",,78
"G11000100001108","1990","DC","99","9999","9999","9999","99","9","108","1","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000028","0000000000","Block 108","S","+38910850","-077060838",,84
"G11000100001109","1990","DC","99","9999","9999","9999","99","9","109","1","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000010","0000000000","Block 109","S","+38911400","-077060158",,82
"G11000100001110","1990","DC","99","9999","9999","9999","99","9","110","1","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000012","0000000000","Block 110","S","+38912200","-077060184",,73
"G11000100001111","1990","DC","99","9999","9999","9999","99","9","111","1","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000024","0000000000","Block 111","S","+38911350","-077058874",,66
"G11000100001112","1990","DC","99","9999","9999","9999","99","9","112","1","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000021","0000000000","Block 112","S","+38911250","-077057774",,29
"G11000100001201","1990","DC","99","9999","9999","9999","99","9","201","2","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000039","0000000000","Block 201","S","+38909700","-077052882",,447
"G11000100001202","1990","DC","99","9999","9999","9999","99","9","202","2","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000024","0000000000","Block 202","S","+38909900","-077056149",,244
"G11000100001203","1990","DC","99","9999","9999","9999","99","9","203","2","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000005","0000000000","Block 203","S","+38908700","-077055424",,36
"G11000100001204","1990","DC","99","9999","9999","9999","99","9","204","2","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000011","0000000000","Block 204","S","+38908800","-077056457",,64
"G11000100001205","1990","DC","99","9999","9999","9999","99","9","205","2","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000093","0000000000","Block 205","S","+38908617","-077053609",,41
"G11000100001207","1990","DC","99","9999","9999","9999","99","9","207","2","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000011","0000000000","Block 207","S","+38907850","-077056449",,47
"G11000100001208","1990","DC","99","9999","9999","9999","99","9","208","2","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000011","0000000000","Block 208","S","+38906950","-077056449",,30
"G11000100001209","1990","DC","99","9999","9999","9999","99","9","209","2","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000009","0000000000","Block 209","S","+38906100","-077056399",,26
"G11000100001303","1990","DC","99","9999","9999","9999","99","9","303","3","0001","98","99999","99","District Of Columbia","001","50000","C5","5","8840","50000","C5","3","9999","3","District Of Columbia","11","1","8840",,"0000000005","0000000000","Block 303","S","+38904500","-077059724",,7
