blk2000gj,blk2000ge,blk2010gj,blk2010ge,parea,weight
G11000100001001000,110010001001000,G11000100001001000,110010001001000,1,1
G11000100001001001,110010001001001,G11000100001001001,110010001001001,1,1
G11000100001001002,110010001001002,G11000100001001005,110010001001005,1,1
G11000100001001003,110010001001003,G11000100001001004,110010001001004,1,1
G11000100001001004,110010001001004,G11000100001001002,110010001001002,1,1
G11000100001001005,110010001001005,G11000100001001003,110010001001003,1,1
G11000100001001006,110010001001006,G11000100001001009,110010001001009,1,1
G11000100001001007,110010001001007,G11000100001001008,110010001001008,1,1
G11000100001001008,110010001001008,G11000100001001010,110010001001010,1,1
G11000100001001009,110010001001009,G11000100001001011,110010001001011,1,1
G11000100001001010,110010001001010,G11000100001001006,110010001001006,1,1
G11000100001001011,110010001001011,G11000100001001007,110010001001007,1,1
G11000100001002000,110010001002000,G11000100001002004,110010001002004,0.8529871194,1
G11000100001002000,110010001002000,G11000100001002005,110010001002005,0.1470128806,0
G11000100001002001,110010001002001,G11000100001002005,110010001002005,1,1
G11000100001002002,110010001002002,G11000100001002003,110010001002003,1,1
G11000100001002003,110010001002003,G11000100001002009,110010001002009,1,1
G11000100001002004,110010001002004,G11000100001002000,110010001002000,1,1
G11000100001002005,110010001002005,G11000100001002001,110010001002001,1,1
G11000100001002006,110010001002006,G11000100001002002,110010001002002,1,1
G11000100001002007,110010001002007,G11000100001002008,110010001002008,1,1
G11000100001002008,110010001002008,G11000100001002007,110010001002007,1,1
G11000100001002009,110010001002009,G11000100001002006,110010001002006,1,1
G11000100001004000,110010001004000,G11000100001004000,110010001004000,1,1
G11000100001004001,110010001004001,G11000100001004001,110010001004001,1,1
G11000100001004002,110010001004002,G11000100001004002,110010001004002,1,1
G11000100001004003,110010001004003,G11000100001004003,110010001004003,1,1
G11000100001004004,110010001004004,G11000100001004004,110010001004004,1,1
G11000100001004005,110010001004005,G11000100001004015,110010001004015,1,1
G11000100001004006,110010001004006,G11000100001004005,110010001004005,1,1
G11000100001004007,110010001004007,G11000100001004006,110010001004006,1,1
G11000100001004008,110010001004008,G11000100001004007,110010001004007,1,1
G11000100001004009,110010001004009,G11000100001004008,110010001004008,1,1
