GISJOIN,YEAR,STUSAB,REGION,DIVISION,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,BLCK_GRPA,BLOCKA,CONCIT,AIANHHA,AIANHHCC,AITSCE,MSACMSA,CMSA,MACCI,PMSA,NECMA,NECMACCI,CD106,SLDU,SLDL,VTD,VTDI,ZCTA3,ZCTA5,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,SDELM,SDSEC,SDUNI,TAZ,MACC,FYE001,FYE002,FYE003,FYE004,FYE005,FYE006,FYE007
"G11000100001001000","2000","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","1","000100","1","1000","99999","9999","99","999","8872","97","Y","8840","9999","9","98",,,"2","P","200","20007","552731","0","Block 1000","S","+38915778","-077063298",,"99999","99999","00030","21B0","50000",241,22,0,11,0,0,5
"G11000100001001001","2000","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","1","000100","1","1001","99999","9999","99","999","8872","97","Y","8840","9999","9","98",,,"2","P","200","20007","28403","0","Block 1001","S","+38914161","-077065461",,"99999","99999","00030","21B0","50000",39,0,0,2,0,0,0
"G11000100001001002","2000","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","1","000100","1","1002","99999","9999","99","999","8872","97","Y","8840","9999","9","98",,,"2","P","200","20007","22771","0","Block 1002","S","+38913011","-077065165",,"99999","99999","00030","21B0","50000",21,0,0,4,0,0,2
"G11000100001001003","2000","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","1","000100","1","1003","99999","9999","99","999","8872","97","Y","8840","9999","9","98",,,"2","P","200","20007","42991","0","Block 1003","S","+38910861","-077062806",,"99999","99999","00030","21B0","50000",67,2,1,6,1,1,2
"G11000100001001004","2000","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","1","000100","1","1004","99999","9999","99","999","8872","97","Y","8840","9999","9","98",,,"2","P","200","20007","27152","0","Block 1004","S","+38912311","-077061590",,"99999","99999","00030","21B0","50000",105,0,0,0,1,0,1
"G11000100001001005","2000","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","1","000100","1","1005","99999","9999","99","999","8872","97","Y","8840","9999","9","98",,,"2","P","200","20007","12129","0","Block 1005","S","+38912311","-077059883",,"99999","99999","00030","21B0","50000",108,0,1,5,0,0,2
"G11000100001001006","2000","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","1","000100","1","1006","99999","9999","99","999","8872","97","Y","8840","9999","9","98",,,"2","P","200","20007","23638","0","Block 1006","S","+38911461","-077058573",,"99999","99999","00030","21B0","50000",105,0,0,11,0,0,0
"G11000100001001007","2000","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","1","000100","1","1007","99999","9999","99","999","8872","97","Y","8840","9999","9","98",,,"2","P","200","20007","21231","0","Block 1007","S","+38911361","-077057473",,"99999","99999","00030","21B0","50000",69,3,0,4,0,0,0
"G11000100001001008","2000","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","1","000100","1","1008","99999","9999","99","999","8872","97","Y","8840","9999","9","98",,,"2","P","200","20007","9869","0","Block 1008","S","+38911511","-077059857",,"99999","99999","00030","21B0","50000",126,1,0,2,0,0,4
"G11000100001001009","2000","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","1","000100","1","1009","99999","9999","99","999","8872","97","Y","8840","9999","9","98",,,"2","P","200","20007","28260","0","Block 1009","S","+38910961","-077060537",,"99999","99999","00030","21B0","50000",168,0,0,9,0,2,0
"G11000100001001010","2000","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","1","000100","1","1010","99999","9999","99","999","8872","97","Y","8840","9999","9","98",,,"2","P","200","20007","29656","0","Block 1010","S","+38911411","-077064592",,"99999","99999","00030","21B0","50000",91,0,0,5,0,0,4
"G11000100001001011","2000","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","1","000100","1","1011","99999","9999","99","999","8872","97","Y","8840","9999","9","98",,,"2","P","200","20007","7702","0","Block 1011","S","+38912261","-077064398",,"99999","99999","00030","21B0","50000",40,0,0,1,0,2,0
"G11000100001002000","2000","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","1","000100","2","2000","99999","9999","99","999","8872","97","Y","8840","9999","9","98",,,"2","P","200","20007","89407","0","Block 2000","S","+38908811","-077053024",,"99999","99999","00030","21A0","50000",50,0,0,1,0,0,2
"G11000100001002001","2000","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","1","000100","2","2001","99999","9999","99","999","8872","97","Y","8840","9999","9","98",,,"2","P","200","20007","3752","0","Block 2001","S","+38905911","-077054735",,"99999","99999","00030","21A0","50000",0,0,0,0,0,0,0
"G11000100001002002","2000","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","1","000100","2","2002","99999","9999","99","999","8872","97","Y","8840","9999","9","98",,,"2","P","200","20007","5392","0","Block 2002","S","+38908811","-077055123",,"99999","99999","00030","21A0","50000",46,2,0,1,0,0,0
"G11000100001002003","2000","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","1","000100","2","2003","99999","9999","99","999","8872","97","Y","8840","9999","9","98",,,"2","P","200","20007","1925","0","Block 2003","S","+38909344","-077055006",,"99999","99999","00030","21A0","50000",37,1,0,0,0,0,1
"G11000100001002004","2000","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","1","000100","2","2004","99999","9999","99","999","8872","97","Y","8840","9999","9","98",,,"2","P","200","20007","38949","0","Block 2004","S","+38909811","-077052581",,"99999","99999","00030","21A0","50000",517,96,1,13,0,5,9
"G11000100001002005","2000","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","1","000100","2","2005","99999","9999","99","999","8872","97","Y","8840","9999","9","98",,,"2","P","200","20007","21616","0","Block 2005","S","+38910011","-077055848",,"99999","99999","00030","21A0","50000",247,18,0,12,0,5,0
"G11000100001002006","2000","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","1","000100","2","2006","99999","9999","99","999","8872","97","Y","8840","9999","9","98",,,"2","P","200","20007","11458","0","Block 2006","S","+38908911","-077056156",,"99999","99999","00030","21A0","50000",85,4,0,5,0,0,1
