GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,COUSUBCC,PLACEA,PLACECC,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCEA,AITS,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,CBSAPCI,NECTAPCI,UAA,UATYPE,URA,CDA,SLDUA,SLDLA,VTD,VTDI,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPTLON,LSADC,MEMI,NMEMI,PUMA,SABINSA,H7X001,H7X002,H7X003,H7X004,H7X005,H7X006,H7X007,H7X008
"G11000100001001000","2010","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","000100","1","1000","99999","9999","9999","9999","99","999","99999","999999","9","99999","47900","47894","548","99999","99999","999","Y","N","92242","U","U","98","002","999","02-005","A","20007","99999","99999","99999","00030","576053","0","Block 1000","S","+38.9150666","-077.0611091","BK","1","9","00101",,324,270,7,2,23,0,10,12
"G11000100001001001","2010","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","000100","1","1001","99999","9999","9999","9999","99","999","99999","999999","9","99999","47900","47894","548","99999","99999","999","Y","N","92242","U","U","98","002","999","02-005","A","20007","99999","99999","99999","00030","25769","0","Block 1001","S","+38.9142162","-077.0656024","BK","1","9","00101",,30,25,0,0,1,0,4,0
"G11000100001001002","2010","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","000100","1","1002","99999","9999","9999","9999","99","999","99999","999999","9","99999","47900","47894","548","99999","99999","999","Y","N","92242","U","U","98","002","999","02-005","A","20007","99999","99999","99999","00030","24957","0","Block 1002","S","+38.9123651","-077.0619362","BK","1","9","00101",,122,118,0,0,1,0,0,3
"G11000100001001003","2010","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","000100","1","1003","99999","9999","9999","9999","99","999","99999","999999","9","99999","47900","47894","548","99999","99999","999","Y","N","92242","U","U","98","002","999","02-005","A","20007","99999","99999","99999","00030","11951","0","Block 1003","S","+38.9122994","-077.0601767","BK","1","9","00101",,141,137,0,0,4,0,0,0
"G11000100001001004","2010","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","000100","1","1004","99999","9999","9999","9999","99","999","99999","999999","9","99999","47900","47894","548","99999","99999","999","Y","N","92242","U","U","98","002","999","02-005","A","20007","99999","99999","99999","00030","41130","0","Block 1004","S","+38.9118082","-077.0632647","BK","1","9","00101",,78,65,5,1,6,1,0,0
"G11000100001001005","2010","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","000100","1","1005","99999","9999","9999","9999","99","999","99999","999999","9","99999","47900","47894","548","99999","99999","999","Y","N","92242","U","U","98","002","999","02-005","A","20007","99999","99999","99999","00030","23670","0","Block 1005","S","+38.9131644","-077.0653194","BK","1","9","00101",,31,29,0,0,2,0,0,0
"G11000100001001006","2010","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","000100","1","1006","99999","9999","9999","9999","99","999","99999","999999","9","99999","47900","47894","548","99999","99999","999","Y","N","92242","U","U","98","002","999","02-005","A","20007","99999","99999","99999","00030","27323","0","Block 1006","S","+38.9114698","-077.0647922","BK","1","9","00101",,108,105,0,0,0,0,3,0
"G11000100001001007","2010","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","000100","1","1007","99999","9999","9999","9999","99","999","99999","999999","9","99999","47900","47894","548","99999","99999","999","Y","N","92242","U","U","98","002","999","02-005","A","20007","99999","99999","99999","00030","5216","0","Block 1007","S","+38.9123643","-077.0645147","BK","1","9","00101",,38,37,1,0,0,0,0,0
"G11000100001001008","2010","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","000100","1","1008","99999","9999","9999","9999","99","999","99999","999999","9","99999","47900","47894","548","99999","99999","999","Y","N","92242","U","U","98","002","999","02-005","A","20007","99999","99999","99999","00030","20619","0","Block 1008","S","+38.9115502","-077.0576969","BK","1","9","00101",,50,49,0,0,1,0,0,0
"G11000100001001009","2010","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","000100","1","1009","99999","9999","9999","9999","99","999","99999","999999","9","99999","47900","47894","548","99999","99999","999","Y","N","92242","U","U","98","002","999","02-005","A","20007","99999","99999","99999","00030","20527","0","Block 1009","S","+38.9115357","-077.0587528","BK","1","9","00101",,114,103,2,0,6,0,1,2
"G11000100001001010","2010","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","000100","1","1010","99999","9999","9999","9999","99","999","99999","999999","9","99999","47900","47894","548","99999","99999","999","Y","N","92242","U","U","98","002","999","02-005","A","20007","99999","99999","99999","00030","10033","0","Block 1010","S","+38.9116007","-077.0601026","BK","1","9","00101",,133,125,0,0,2,0,3,3
"G11000100001001011","2010","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","000100","1","1011","99999","9999","9999","9999","99","999","99999","999999","9","99999","47900","47894","548","99999","99999","999","Y","N","92242","U","U","98","002","999","02-005","A","20007","99999","99999","99999","00030","26245","0","Block 1011","S","+38.9109901","-077.0608453","BK","1","9","00101",,174,159,6,0,8,0,1,0
"G11000100001002000","2010","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","000100","2","2000","99999","9999","9999","9999","99","999","99999","999999","9","99999","47900","47894","548","99999","99999","999","Y","N","92242","U","U","98","002","999","02-005","A","20007","99999","99999","99999","00030","42364","0","Block 2000","S","+38.9100683","-077.0528631","BK","1","9","00101",,609,553,13,0,27,1,4,11
"G11000100001002001","2010","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","000100","2","2001","99999","9999","9999","9999","99","999","99999","999999","9","99999","47900","47894","548","99999","99999","999","Y","N","92242","U","U","98","002","999","02-005","A","20007","99999","99999","99999","00030","21340","0","Block 2001","S","+38.9099975","-077.0561970","BK","1","9","00101",,273,237,9,0,13,0,3,11
"G11000100001002002","2010","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","000100","2","2002","99999","9999","9999","9999","99","999","99999","999999","9","99999","47900","47894","548","99999","99999","999","Y","N","92242","U","U","98","002","999","02-005","A","20007","99999","99999","99999","00030","10459","0","Block 2002","S","+38.9089553","-077.0564416","BK","1","9","00101",,102,95,1,0,3,0,0,3
"G11000100001002003","2010","DC","3","5","District Of Columbia","11","District Of Columbia","001","50000","C5","50000","C5","000100","2","2003","99999","9999","9999","9999","99","999","99999","999999","9","99999","47900","47894","548","99999","99999","999","Y","N","92242","U","U","98","002","999","02-005","A","20007","99999","99999","99999","00030","8170","0","Block 2003","S","+38.9089462","-077.0552735","BK","1","9","00101",,56,50,2,0,4,0,0,0
