GISJOIN,YEAR,STUSAB,GEOID,GEOCODE,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,COUSUBCC,SUBMCDA,CONCITA,PLACEA,PLACECC,TRACTA,BLKGRPA,BLOCKA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,MEMI,CSAA,METDIVA,NECTAA,NMEMI,CNECTAA,NECTADIVA,CBSAPCI,NECTAPCI,UAA,URA,CD116A,SLDU18A,SLDL18A,VTD,VTDI,ZCTAA,SDELMA,SDSECA,SDUNIA,PUMA,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,INTPTLAT,INTPTLON,LSADC,UGA,U7J001,U7J002,U7J003,U7J004,U7J005,U7J006,U7J007,U7J008
"G11000100001011000","2020","DC","1000000US110010001011000","110010001011000","3","5","District of Columbia","11","District of Columbia","001","50000","C5","99999","99999","50000","C5","000101","1","1000","9999","9999","9999","99","999","999999","9","99999","47900","1","548","47894","99999","9","999","99999","Y","N","92242","U","98","002","999","02-005","A","20007","99999","99999","00030","00106","42796","951","1000","Block 1000","S","+38.9100683","-077.0528631","BK","99999",607,472,24,0,42,0,18,51
"G11000100001011001","2020","DC","1000000US110010001011001","110010001011001","3","5","District of Columbia","11","District of Columbia","001","50000","C5","99999","99999","50000","C5","000101","1","1001","9999","9999","9999","99","999","999999","9","99999","47900","1","548","47894","99999","9","999","99999","Y","N","92242","U","98","002","999","02-005","A","20007","99999","99999","00030","00106","21340","0","1001","Block 1001","S","+38.9099975","-077.0561970","BK","99999",282,209,18,0,25,0,3,27
"G11000100001011002","2020","DC","1000000US110010001011002","110010001011002","3","5","District of Columbia","11","District of Columbia","001","50000","C5","99999","99999","50000","C5","000101","1","1002","9999","9999","9999","99","999","999999","9","99999","47900","1","548","47894","99999","9","999","99999","Y","N","92242","U","98","002","999","02-005","A","20007","99999","99999","00030","00106","15939","4310","1002","Block 1002","S","+38.9090878","-077.0508394","BK","99999",0,0,0,0,0,0,0,0
"G11000100001011003","2020","DC","1000000US110010001011003","110010001011003","3","5","District of Columbia","11","District of Columbia","001","50000","C5","99999","99999","50000","C5","000101","1","1003","9999","9999","9999","99","999","999999","9","99999","47900","1","548","47894","99999","9","999","99999","Y","N","92242","U","98","002","999","02-005","A","20007","99999","99999","00030","00106","66620","0","1003","Block 1003","S","+38.9078752","-077.0544314","BK","99999",85,62,0,2,8,0,0,13
"G11000100001011004","2020","DC","1000000US110010001011004","110010001011004","3","5","District of Columbia","11","District of Columbia","001","50000","C5","99999","99999","50000","C5","000101","1","1004","9999","9999","9999","99","999","999999","9","99999","47900","1","548","47894","99999","9","999","99999","Y","N","92242","U","98","002","999","02-005","A","20007","99999","99999","00030","00106","8170","0","1004","Block 1004","S","+38.9089462","-077.0552735","BK","99999",56,40,2,1,1,1,5,6
"G11000100001011005","2020","DC","1000000US110010001011005","110010001011005","3","5","District of Columbia","11","District of Columbia","001","50000","C5","99999","99999","50000","C5","000101","1","1005","9999","9999","9999","99","999","999999","9","99999","47900","1","548","47894","99999","9","999","99999","Y","N","92242","U","98","002","999","02-005","A","20007","99999","99999","00030","00106","10002","0","1005","Block 1005","S","+38.9081156","-077.0564523","BK","99999",89,76,0,0,6,0,1,6
"G11000100001011006","2020","DC","1000000US110010001011006","110010001011006","3","5","District of Columbia","11","District of Columbia","001","50000","C5","99999","99999","50000","C5","000101","1","1006","9999","9999","9999","99","999","999999","9","99999","47900","1","548","47894","99999","9","999","99999","Y","N","92242","U","98","002","999","02-005","A","20007","99999","99999","00030","00106","10459","0","1006","Block 1006","S","+38.9089553","-077.0564416","BK","99999",92,73,2,0,0,0,2,15
"G11000100001011007","2020","DC","1000000US110010001011007","110010001011007","3","5","District of Columbia","11","District of Columbia","001","50000","C5","99999","99999","50000","C5","000101","1","1007","9999","9999","9999","99","999","999999","9","99999","47900","1","548","47894","99999","9","999","99999","Y","N","92242","U","98","002","999","02-005","A","20007","99999","99999","00030","00106","9456","0","1007","Block 1007","S","+38.9064797","-077.0564235","BK","99999",91,68,0,0,3,0,0,20
"G11000100001011008","2020","DC","1000000US110010001011008","110010001011008","3","5","District of Columbia","11","District of Columbia","001","50000","C5","99999","99999","50000","C5","000101","1","1008","9999","9999","9999","99","999","999999","9","99999","47900","1","548","47894","99999","9","999","99999","Y","N","92242","U","98","002","999","02-005","A","20007","99999","99999","00030","00106","10055","0","1008","Block 1008","S","+38.9072834","-077.0564391","BK","99999",53,42,0,0,5,0,0,6
"G11000100001011009","2020","DC","1000000US110010001011009","110010001011009","3","5","District of Columbia","11","District of Columbia","001","50000","C5","99999","99999","50000","C5","000101","1","1009","9999","9999","9999","99","999","999999","9","99999","47900","1","548","47894","99999","9","999","99999","Y","N","92242","U","98","002","999","02-005","A","20007","99999","99999","00030","00106","4939","0","1009","Block 1009","S","+38.9097337","-077.0550921","BK","99999",51,41,1,2,2,0,2,3
