GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLOCKA,AREANAME,CBD,CM5001,CM5002,CM6001,CM6002,CM6003,CM6004
"G11000100001101","1970","District Of Columbia","11","District Of Columbia","001","0001","101","Tract    1 Block 101","1",133,193,3,2,3,2
"G11000100001102","1970","District Of Columbia","11","District Of Columbia","001","0001","102","Tract    1 Block 102","1",8,8,0,0,0,0
"G11000100001103","1970","District Of Columbia","11","District Of Columbia","001","0001","103","Tract    1 Block 103","1",7,7,0,0,0,0
"G11000100001104","1970","District Of Columbia","11","District Of Columbia","001","0001","104","Tract    1 Block 104","1",53,72,0,2,1,3
"G11000100001105","1970","District Of Columbia","11","District Of Columbia","001","0001","105","Tract    1 Block 105","1",22,22,1,0,0,0
"G11000100001106","1970","District Of Columbia","11","District Of Columbia","001","0001","106","Tract    1 Block 106","1",56,85,0,1,1,1
"G11000100001107","1970","District Of Columbia","11","District Of Columbia","001","0001","107","Tract    1 Block 107","1",53,93,3,2,0,0
"G11000100001108","1970","District Of Columbia","11","District Of Columbia","001","0001","108","Tract    1 Block 108","1",96,120,1,1,1,3
"G11000100001109","1970","District Of Columbia","11","District Of Columbia","001","0001","109","Tract    1 Block 109","1",69,109,0,1,0,0
"G11000100001110","1970","District Of Columbia","11","District Of Columbia","001","0001","110","Tract    1 Block 110","1",69,85,0,0,0,0
"G11000100001111","1970","District Of Columbia","11","District Of Columbia","001","0001","111","Tract    1 Block 111","1",63,86,0,0,1,0
"G11000100001112","1970","District Of Columbia","11","District Of Columbia","001","0001","112","Tract    1 Block 112","1",31,43,0,2,0,0
"G11000100001201","1970","District Of Columbia","11","District Of Columbia","001","0001","201","Tract    1 Block 201","1",193,363,9,10,1,4
"G11000100001202","1970","District Of Columbia","11","District Of Columbia","001","0001","202","Tract    1 Block 202","1",44,53,0,2,0,1
"G11000100001203","1970","District Of Columbia","11","District Of Columbia","001","0001","203","Tract    1 Block 203","1",107,194,14,24,0,1
"G11000100001204","1970","District Of Columbia","11","District Of Columbia","001","0001","204","Tract    1 Block 204","1",24,34,6,6,0,0
"G11000100001205","1970","District Of Columbia","11","District Of Columbia","001","0001","205","Tract    1 Block 205","1",32,46,1,2,0,0
"G11000100001207","1970","District Of Columbia","11","District Of Columbia","001","0001","207","Tract    1 Block 207","1",37,48,3,3,0,0
"G11000100001208","1970","District Of Columbia","11","District Of Columbia","001","0001","208","Tract    1 Block 208","1",39,41,4,7,0,0
"G11000100001209","1970","District Of Columbia","11","District Of Columbia","001","0001","209","Tract    1 Block 209","1",37,36,0,0,1,0
"G11000100001210","1970","District Of Columbia","11","District Of Columbia","001","0001","210","Tract    1 Block 210","1",12,21,0,0,0,0
"G11000100001301","1970","District Of Columbia","11","District Of Columbia","001","0001","301","Tract    1 Block 301","1",15,23,0,0,1,1
"G11000100001303","1970","District Of Columbia","11","District Of Columbia","001","0001","303","Tract    1 Block 303","1",17,12,0,0,1,0
"G11000100001304","1970","District Of Columbia","11","District Of Columbia","001","0001","304","Tract    1 Block 304","1",32,40,0,0,0,2
"G11000100001309","1970","District Of Columbia","11","District Of Columbia","001","0001","309","Tract    1 Block 309","1",39,21,1,0,0,0
"G11000100001401","1970","District Of Columbia","11","District Of Columbia","001","0001","401","Tract    1 Block 401","1",55,57,1,0,0,1
"G11000100001402","1970","District Of Columbia","11","District Of Columbia","001","0001","402","Tract    1 Block 402","1",59,77,1,3,2,1
"G11000100001403","1970","District Of Columbia","11","District Of Columbia","001","0001","403","Tract    1 Block 403","1",37,48,1,1,0,0
"G11000100001404","1970","District Of Columbia","11","District Of Columbia","001","0001","404","Tract    1 Block 404","1",25,25,0,0,1,0
"G11000100001405","1970","District Of Columbia","11","District Of Columbia","001","0001","405","Tract    1 Block 405","1",43,57,1,5,0,0
"G11000100001406","1970","District Of Columbia","11","District Of Columbia","001","0001","406","Tract    1 Block 406","1",26,22,1,1,1,1
"G11000100001407","1970","District Of Columbia","11","District Of Columbia","001","0001","407","Tract    1 Block 407","1",25,30,0,0,0,0
"G11000100001408","1970","District Of Columbia","11","District Of Columbia","001","0001","408","Tract    1 Block 408","1",30,66,1,3,0,0
"G11000100001409","1970","District Of Columbia","11","District Of Columbia","001","0001","409","Tract    1 Block 409","1",59,65,1,2,2,8
"G11000100001410","1970","District Of Columbia","11","District Of Columbia","001","0001","410","Tract    1 Block 410","1",51,65,1,1,0,0
"G11000100001501","1970","District Of Columbia","11","District Of Columbia","001","0001","501","Tract    1 Block 501","1",44,69,1,1,0,0
"G11000100001502","1970","District Of Columbia","11","District Of Columbia","001","0001","502","Tract    1 Block 502","1",44,72,0,0,0,0
"G11000100001503","1970","District Of Columbia","11","District Of Columbia","001","0001","503","Tract    1 Block 503","1",34,41,0,3,0,0
"G11000100001504","1970","District Of Columbia","11","District Of Columbia","001","0001","504","Tract    1 Block 504","1",28,36,0,0,1,1
"G11000100001505","1970","District Of Columbia","11","District Of Columbia","001","0001","505","Tract    1 Block 505","1",27,36,0,0,0,0
"G11000100001506","1970","District Of Columbia","11","District Of Columbia","001","0001","506","Tract    1 Block 506","1",35,72,1,4,1,2
"G11000100001507","1970","District Of Columbia","11","District Of Columbia","001","0001","507","Tract    1 Block 507","1",62,72,0,0,0,3
"G11000100001508","1970","District Of Columbia","11","District Of Columbia","001","0001","508","Tract    1 Block 508","1",30,45,0,1,0,1
"G11000100001509","1970","District Of Columbia","11","District Of Columbia","001","0001","509","Tract    1 Block 509","1",18,32,0,0,0,0
"G11000100001510","1970","District Of Columbia","11","District Of Columbia","001","0001","510","Tract    1 Block 510","1",28,122,2,3,0,0
"G11000100001511","1970","District Of Columbia","11","District Of Columbia","001","0001","511","Tract    1 Block 511","1",108,148,1,7,0,2
"G11000100001512","1970","District Of Columbia","11","District Of Columbia","001","0001","512","Tract    1 Block 512","1",65,105,1,8,0,1
"G11000100001513","1970","District Of Columbia","11","District Of Columbia","001","0001","513","Tract    1 Block 513","1",14,28,1,0,0,0
"G11000100002102","1970","District Of Columbia","11","District Of Columbia","001","0002","102","Tract    2 Block 102","1",81,114,5,5,7,8
"G11000100002103","1970","District Of Columbia","11","District Of Columbia","001","0002","103","Tract    2 Block 103","1",32,48,0,1,3,0
