GISJOIN,GEOID,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSA,SMSAA,COUNTY,COUNTYA,TRACTA,BLCK_GRPA,BLOCKA,SCSAA,SEA,CBD,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C7L001,C7M001,C7M002,C7M003,C7N001,C75001,C8Y001,C8Z001,C8Z002,C8Z003,C9A001,C9B001,C9B002,C9C001,C9C002,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015,C9E001,C9E002,C9E003,C9E004,C9E005,C9F001,C9G001,C9G002,C9G003,C9G004,C67001,C67002,C67003,C67004,C67005,C67006,C67007,C67008,C67009,C67010,C67011,C67012,C67013,C67014,C67015,C67016,C67017,C67018,C67019,C67020,C67021,C67022,C67023,C67024,C67025,C67026,C68001,C68002,C68003,C68004,C68005,C68006,C68007,C68008,C68009,C68010,C68011,C68012,C68013,C68014,C68015,C68016,C68017,C68018,C68019,C68020,C68021,C68022,C68023,C68024,C68025,C68026,C68027,C68028,C68029,C68030,C68031,C68032,C68033,C68034,C68035,C68036,C68037,C68038,C68039,C68040,C68041,C68042,C68043,C68044,C68045,C68046,C68047,C68048,C68049,C68050,C68051,C68052,C69001,C7A001,C7A002,C7B001,C7B002,C7B003,C7B004,C7C001,C7C002,C7C003,C7C004,C7C005,C7C006,C7C007,C7C008,C7C009,C7C010,C7C011,C7C012,C7C013,C7C014,C7C015,C7C016,C7C017,C7C018,C7C019,C7C020,C7D001,C7D002,C7D003,C7D004,C7E001,C7E002,C7E003,C7E004,C7E005,C7E006,C7E007,C7E008,C7E009,C7E010,C7E011,C7E012,C7F001,C7F002,C7F003,C7F004,C7F005,C7F006,C7F007,C7F008,C7F009,C7F010,C7G001,C7G002,C7G003,C7G004,C7G005,C7G006,C7G007,C7G008,C7G009,C7H001,C7H002,C7H003,C7H004,C7H005,C7H006,C7H007,C7I001,C7I002,C7I003,C7I004,C7I005,C7I006,C7I007,C7J001,C7J002,C7K001,C7K002,C7K003,C7K004,C7O001,C7O002,C7O003,C7O004,C7O005,C7O006,C7O007,C7O008,C7O009,C7P001,C7P002,C7P003,C7Q001,C7Q002,C7Q003,C7R001,C7R002,C7S001,C7S002,C7S003,C7S004,C7T001,C7U001,C7U002,C7U003,C7U004,C7V001,C7W001,C7W002,C7X001,C7X002,C7X003,C7X004,C7X005,C7Y001,C7Y002,C7Y003,C7Y004,C7Y005,C7Y006,C7Y007,C7Y008,C7Y009,C7Y010,C7Z001,C70001,C70002,C70003,C71001,C71002,C72001,C72002,C72003,C72004,C72005,C72006,C73001,C74001,C74002,C74003,C74004,C76001,C76002,C76003,C76004,C76005,C76006,C77001,C78001,C79001,C79002,C79003,C79004,C79005,C8A001,C8A002,C8A003,C8A004,C8A005,C8A006,C8B001,C8B002,C8B003,C8B004,C8B005,C8B006,C8B007,C8B008,C8B009,C8B010,C8B011,C8B012,C8C001,C8D001,C8E001,C8F001,C8F002,C8G001,C8G002,C8G003,C8H001,C8H002,C8H003,C8H004,C8H005,C8H006,C8I001,C8I002,C8I003,C8I004,C8I005,C8I006,C8I007,C8I008,C8I009,C8I010,C8I011,C8I012,C8I013,C8J001,C8K001,C8K002,C8L001,C8L002,C8M001,C8M002,C8N001,C8N002,C8N003,C8N004,C8N005,C8N006,C8N007,C8N008,C8N009,C8N010,C8N011,C8N012,C8N013,C8N014,C8O001,C8P001,C8P002,C8Q001,C8Q002,C8R001,C8R002,C8S001,C8S002,C8S003,C8S004,C8T001,C8T002,C8T003,C8T004,C8U001,C8V001,C8V002,C8W001,C8X001,C8X002,C80001,C81001,C81002,C82001,C83001,C84001,C85001,C85002,C85003,C85004,C86001,C87001,C87002,C87003,C87004,C87005,C87006,C87007,C88001,C89001,C89002,C89003,C89004,C89005,C89006,C89007,C89008,C89009
G11000100001101,110010001101,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0001,1,101,,A,,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,261,261,0,0,35,189,212,212,0,0,212,189,23,133,128,243,4,3,0,0,1,1,0,0,0,0,0,0,0,9,245,0,0,1,15,16,9,0,1,6,0,2,2,1,2,2,0,1,1,0,0,4,0,3,3,13,46,45,34,36,20,4,5,22,15,0,0,1,0,0,1,1,0,1,1,0,0,3,0,1,0,5,26,24,22,20,13,1,3,5,5,0,0,1,2,1,1,1,0,0,0,0,0,1,0,2,3,8,20,21,12,16,7,3,2,17,10,0,36.6,36.1,37.5,4,7,213,37,4,5,199,35,,,,,,,,,,,,,,,,,1,3,11,1,,,,,0,0,0,0,,,,,80,35,3,2,9,60,33,3,11,15,35,29,25,6,80,74,12,0,0,71,72,29,2,4,9,2,0,7,0,0,4,0,0,3,4,6,0,0,1,3,2,1,0,8,22,1,0,0,33,6,2,28,3,2,0,33,0,1,0,32,13,1,19,1,2,189,9,180,179,2,2,2,4,9,,,,,170,,,,,7,5,0,2,0,7,,0,,,0,,0,0,0,0,0,48,35,43,48,23,15,3,679,52,583,6,28,10,143,35,7,0,0,4,7,0,1,0,0,1,136,35,6,0,0,3,1.16,1.38,261,17,244,188,0,1,9,0,0,179,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,187500,1200000,250000,6,1,0,0,0,0,1,0,0,13,1,14,58,38,27,11,7,5,248,46617,5462,170,19,211,1,189,0,22,1,9,0,180,0,0,0,0,2,0,2,0,2,0,0,13,1,52,4,155,1,7,22,3,1,16,1,1,1,13,26,2,5,3,1,0,5,0,0
G11000100001102,110010001102,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0001,1,102,,A,,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,41,41,0,0,13,15,16,16,0,0,16,15,1,15,26,32,6,0,0,0,0,0,0,0,0,0,0,0,0,3,36,1,0,1,3,5,2,0,0,3,1,2,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,3,9,7,5,3,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,2,2,1,2,0,3,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,7,5,4,1,1,0,0,0,43.3,47.5,42.1,4,3,31,3,2,3,24,3,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3,11,0,0,0,3,14,1,0,3,13,11,10,5,0,2,0,0,0,0,2,11,0,2,0,0,0,6,1,0,0,0,0,4,3,4,0,1,0,3,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,3,,,,,4,0,1,0,0,15,12,3,13,1,0,0,1,11,,0,0,,2,,0,0,,1,0,0,1,,,,,,,,,0,,,0,0,0,0,2,0,2,12,5.6,134,,,0,5,0,2,6,4,2,0,1,,,,,,,,,,,,,2.42,2.73,41,,,15,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,9,200100,2250000,0,9,0,0,0,,,,,,,,,,,,,,,,,195,,1,16,0,15,0,1,0,,,,,0,,,0,,,0,0,0,1,1,0,14,1,1,0,7,3,1,0,3,0,0,0,3,2,0,0,0,0,0,1,0,0
G11000100001103,110010001103,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0001,1,103,,A,,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57,0,0,14,23,24,24,0,0,24,23,1,26,31,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,2,1,1,2,0,0,0,4,4,5,7,3,7,6,1,1,1,4,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4,4,4,3,0,1,1,1,1,0,1,3,0,0,0,0,0,0,1,2,1,1,2,0,0,0,0,0,1,4,3,6,5,0,0,1,3,1,0,28.9,23.5,35.8,0,10,39,8,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,15,6,1,1,0,9,7,0,1,10,14,6,10,4,5,4,14,0,0,2,3,6,0,8,3,1,0,1,7,2,0,0,0,0,10,1,0,8,0,3,3,0,1,1,0,0,0,0,1,3,1,1,3,0,0,4,0,4,0,0,6,0,1,0,0,23,16,7,23,0,0,0,0,16,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,21,5.6,180,118,57,0,5,0,5,12,3,0,1,2,5,9,1,0,1,0,0,3,2,0,0,2,2.04,2.48,57,31,26,22,1,0,16,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,4,11,200100,3450000,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,501,3300,237,6,1,24,0,23,0,1,0,16,0,7,0,0,0,0,7,0,7,0,7,0,0,1,0,21,2,1,0,9,4,3,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0
G11000100001104,110010001104,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0001,1,104,,A,,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,147,147,0,0,32,61,71,71,0,0,71,61,10,61,86,141,2,0,0,0,0,0,0,0,0,0,0,0,0,4,140,1,0,0,6,7,4,0,0,3,2,2,2,0,1,0,7,1,1,1,1,1,3,2,7,11,12,10,21,24,7,1,5,17,7,1,1,1,2,0,1,0,3,1,1,0,1,1,2,0,0,0,5,4,12,14,2,0,2,5,2,1,1,1,0,0,0,0,4,0,0,1,0,0,1,2,7,11,7,6,9,10,5,1,3,12,5,0,39.5,41.3,37.2,6,12,104,25,6,12,99,24,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,19,31,0,0,2,37,28,0,9,6,32,26,29,10,9,20,21,0,0,5,13,26,2,4,4,7,0,17,1,0,0,0,0,6,12,10,1,0,0,8,8,1,0,1,7,0,0,0,7,13,1,7,11,1,3,16,3,13,0,3,20,1,4,0,5,61,36,25,59,1,0,0,1,36,,0,0,,23,,0,0,,2,2,0,0,,,,,,,,,0,0,0,0,0,0,8,3,9,13,38,5.6,430,270,126,6,18,10,18,22,8,7,4,2,6,14,6,5,4,1,12,8,2,2,0,1,2.07,2.41,147,98,49,60,1,0,36,0,0,24,1,0,0,0,0,0,0,2,0,0,0,0,3,4,23,200100,6902500,52500,32,1,0,0,0,0,0,0,0,0,0,1,1,3,2,3,12,1,501,9923,906,22,4,71,0,61,0,10,0,36,0,25,0,0,0,0,3,0,3,0,3,0,1,4,1,56,11,4,0,9,14,2,3,4,6,5,4,11,6,0,2,0,1,0,0,0,1
G11000100001105,110010001105,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0001,1,105,,A,,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,41,41,0,0,10,21,24,24,0,0,24,21,3,20,21,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,1,0,0,0,0,0,1,3,1,8,6,3,0,1,9,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,1,0,4,3,1,0,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,2,1,4,3,2,0,1,4,0,0,43.1,42.5,43.8,0,9,23,9,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,1,0,2,7,8,0,3,0,10,8,10,1,4,7,1,0,0,4,6,8,1,1,0,1,0,8,1,0,0,0,0,0,9,3,1,0,0,5,2,0,0,0,2,0,0,0,2,5,0,2,5,0,0,7,0,7,0,0,2,1,0,0,2,21,15,6,20,0,0,1,0,,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,7,9,5.1,131,86,27,5,0,13,10,7,1,1,2,0,6,6,0,1,2,0,4,1,1,0,0,0,1.57,1.95,41,32,9,21,0,0,15,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,200100,3025000,62500,15,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,501,2212,0,5,0,24,0,21,0,3,0,15,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,7,1,0,6,0,1,1,3,2,0,0,0,1,0,1,0,1
G11000100001106,110010001106,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0001,1,106,,A,,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,0,0,15,44,47,47,0,0,47,44,3,34,56,87,3,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,3,1,4,4,0,0,0,1,1,2,1,0,1,3,1,0,1,0,1,0,1,1,10,13,8,17,10,5,5,1,3,3,1,0,0,2,0,0,1,3,1,0,0,0,1,0,0,0,3,5,1,6,3,3,2,0,1,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,7,8,7,11,7,2,3,1,2,1,1,35,35,35,4,7,72,7,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11,11,2,0,3,27,12,1,2,11,15,11,20,7,11,18,8,0,0,8,16,11,0,4,3,2,0,11,0,0,0,0,0,4,7,7,0,0,0,3,1,1,1,1,0,0,0,0,2,5,2,0,4,1,1,4,1,4,0,0,9,1,1,0,1,44,22,22,44,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,2,2,26,5.6,275,180,82,6,2,5,24,7,6,4,1,2,6,6,5,4,0,1,18,1,1,0,1,1,1.42,2.05,90,55,35,44,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,200100,4525000,250000,19,1,0,0,0,0,0,0,0,0,0,0,1,3,12,1,3,2,350,7123,450,20,1,46,1,43,1,3,0,22,0,21,1,0,0,0,0,0,0,1,0,0,0,1,1,30,2,15,0,2,5,0,1,0,3,1,1,1,3,0,0,0,0,0,0,1,0
G11000100001107,110010001107,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0001,1,107,,A,,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,147,147,0,0,16,71,76,76,0,0,76,71,5,50,97,136,10,0,0,0,0,0,0,0,0,0,0,0,0,1,138,1,0,0,8,9,8,1,0,0,0,2,1,0,0,1,1,1,2,1,2,3,4,0,0,5,13,12,16,13,8,4,4,18,11,25,0,2,1,0,0,1,1,0,0,0,0,1,0,0,0,1,6,5,3,7,2,4,2,6,4,4,0,0,0,0,0,0,0,1,2,1,2,2,4,0,0,4,7,7,13,6,6,0,2,12,7,21,52.3,50.7,54.2,3,8,82,54,3,7,75,51,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,19,13,3,6,4,47,11,0,28,10,16,11,17,7,13,42,9,28,4,11,37,11,2,3,2,5,0,4,3,1,3,0,0,3,5,5,2,1,0,6,3,2,0,0,17,1,24,1,17,8,2,15,6,2,0,23,0,18,0,5,13,0,5,0,0,71,31,40,67,3,0,0,1,31,,0,0,,36,,0,0,,2,2,0,0,,,,,,,,,16,12,4,0,0,10,8,18,20,7,13,3.6,316,182,128,0,6,0,48,12,5,3,2,1,18,7,2,2,2,0,30,5,3,1,0,1,1.24,1.62,115,56,59,71,0,0,31,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,200100,2175000,0,9,0,773750,0,0,0,1,0,0,4,2,1,4,1,4,9,11,2,417,13860,1185,37,5,76,0,71,0,5,0,31,0,40,0,0,0,0,0,0,0,0,0,0,0,5,0,30,15,31,0,7,25,10,2,5,3,5,1,10,8,0,0,0,0,0,2,1,0
G11000100001108,110010001108,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0001,1,108,,A,,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,159,159,0,0,32,73,113,113,0,0,113,73,40,64,95,152,4,0,0,0,0,0,0,0,0,0,0,0,0,3,158,0,0,0,1,1,1,0,0,0,1,1,2,2,0,7,10,0,0,3,0,1,0,2,2,17,24,16,26,16,6,1,5,11,5,1,1,1,0,1,0,3,7,0,0,2,0,0,0,2,1,4,7,8,9,7,5,1,0,2,3,0,0,0,2,1,0,4,3,0,0,1,0,1,0,0,1,13,17,8,17,9,1,0,5,9,2,1,32.3,31.9,32.8,4,22,116,17,4,22,109,17,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,22,27,0,0,2,41,27,4,8,5,32,26,34,10,9,32,16,0,0,6,25,26,0,6,3,7,0,20,6,0,0,0,0,4,22,10,0,4,0,7,4,1,0,0,5,0,0,0,9,8,0,5,7,0,0,12,0,9,0,3,18,8,20,4,8,73,37,36,73,0,0,0,0,37,0,0,0,0,36,0,0,0,0,1,1,0,0,,,,,,,,,0,0,0,0,0,13,11,17,10,11,51,5,616,297,151,68,35,65,31,22,7,5,6,2,8,15,5,3,4,2,23,7,2,2,2,0,1.75,2.18,159,98,61,73,0,0,37,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,1,6,20,200100,6187500,2e+06,27,8,0,0,0,0,0,0,0,0,1,0,2,17,3,1,11,0,293,12618,6618,35,20,112,1,72,1,40,0,36,1,36,0,0,0,0,0,0,0,2,0,0,0,13,3,56,14,43,0,6,9,1,1,2,2,3,0,39,10,1,1,0,0,1,1,1,0
G11000100001109,110010001109,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0001,1,109,,A,,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,139,139,0,0,25,80,85,85,0,0,85,80,5,73,66,133,1,1,0,0,0,2,0,0,0,0,0,0,0,2,132,2,0,0,5,7,6,0,0,1,2,0,0,0,0,4,0,2,0,1,0,0,1,2,2,12,25,27,35,11,2,1,1,7,4,0,2,0,0,0,0,2,0,1,0,0,0,0,0,2,2,3,12,13,22,9,2,0,0,2,1,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,9,13,14,13,2,0,1,1,5,3,0,33.4,34.8,32.1,2,7,119,11,2,7,113,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,21,6,0,13,31,20,1,4,7,25,19,20,1,30,25,19,0,0,25,20,19,3,3,5,5,0,4,5,0,0,0,0,2,7,4,2,2,0,3,2,1,0,0,5,0,0,0,5,4,0,5,3,0,0,8,0,8,0,0,11,4,1,0,0,80,52,28,77,0,1,1,1,50,0,,,,27,0,,,,2,2,0,0,,,,,,,,,36,31,5,0,0,1,9,13,10,20,32,5,434,270,129,28,7,0,45,22,7,2,3,1,28,17,4,1,2,0,17,5,3,1,1,1,1.39,1.74,139,88,51,78,1,1,51,0,1,27,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7,200100,2450000,887500,11,4,3337500,0,0,0,0,0,0,0,0,4,2,5,4,1,12,0,375,10954,325,28,1,84,1,79,1,5,0,51,1,28,0,0,0,0,8,5,3,2,8,0,0,1,3,38,10,37,0,0,9,3,1,2,1,4,1,2,5,1,1,0,1,1,1,1,1
G11000100001110,110010001110,1980,S,3,5,District Of Columbia,11,"WASHINGTON, D.C.-MD.-VA.",8840,District Of Columbia,001,0001,1,110,,A,,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,117,117,0,0,21,67,70,70,0,0,70,67,3,55,62,113,2,0,0,0,0,2,0,0,0,0,0,0,0,0,110,0,1,0,6,7,7,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,2,1,5,14,26,20,17,8,0,6,6,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,4,15,11,5,4,0,5,3,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,3,10,11,9,12,4,0,1,3,3,1,37.3,37.3,37.2,4,2,99,12,4,2,95,12,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,24,17,2,0,9,26,15,3,5,11,21,15,11,2,23,23,22,0,0,13,17,15,1,5,10,6,0,4,2,0,0,0,0,4,2,4,0,2,0,3,1,0,0,2,6,0,0,0,9,6,2,7,3,1,0,11,0,10,0,1,18,1,2,0,0,67,42,25,66,0,0,1,0,,0,0,,0,,0,0,,0,2,2,0,0,,,,,,,,,41,22,19,0,0,0,0,9,27,10,24,4.5,362,229,111,10,12,0,30,25,11,1,0,0,21,16,4,1,0,0,9,9,7,0,0,0,1.64,1.75,117,69,48,66,1,0,41,1,0,25,0,0,0,0,0,0,1,0,0,0,0,0,1,5,10,200100,3538750,250000,17,1,2482500,0,0,0,0,0,0,0,0,1,0,0,3,0,21,0,501,12770,1100,25,2,70,0,67,0,3,0,42,0,25,0,0,0,0,4,4,0,0,4,0,0,2,0,42,27,1,0,4,12,3,1,7,1,5,4,3,9,0,0,0,1,0,3,0,0
