bg2010gj,bg2010ge,bg2020gj,bg2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G11000100001001,110010001001,G11000100001021,110010001021,0.9876507839,0.9984647021,0.9984035753,0.9990475789,0.99832435,0.9983388042,0.999639779,0.9969015391
G11000100001001,110010001001,G11000100004002,110010004002,0.0123492161,0.0015352979,0.0015964247,0.0009524211,0.00167565,0.0016611958,0.000360221,0.0030984609
G11000100001002,110010001002,G11000100001011,110010001011,1,1,1,1,1,1,1,1
G11000100001003,110010001003,G11000100001022,110010001022,1,1,1,1,1,1,1,1
G11000100001004,110010001004,G11000100001023,110010001023,0.9976716937,1,1,1,1,1,1,1
G11000100001004,110010001004,G11000100056012,110010056012,0.0023283063,0,0,0,0,0,0,0
G11000100002011,110010002011,G11000100002011,110010002011,0.3838747115,0,0,0,0,0,0,0
G11000100002011,110010002011,G11000100002012,110010002012,0.4922601651,0.9995608368,0.9995592611,0.9995297082,0.9385798912,0.9385798912,0.9385798912,0.9385798912
G11000100002011,110010002011,G11000100002021,110010002021,0.0001536306,0.0004391632,0.0004407389,0.0004702918,0.0614201088,0.0614201088,0.0614201088,0.0614201088
G11000100002011,110010002011,G11000100002024,110010002024,0.0001795442,0,0,0,0,0,0,0
G11000100002011,110010002011,G11000100008022,110010008022,0.1235319487,0,0,0,0,0,0,0
G11000100002021,110010002021,G11000100002021,110010002021,1,1,1,1,1,1,1,1
G11000100002022,110010002022,G11000100002022,110010002022,1,1,1,1,1,1,1,1
G11000100002023,110010002023,G11000100002023,110010002023,1,1,1,1,1,1,1,1
G11000100002024,110010002024,G11000100001023,110010001023,0.0000061847,0,0,0,0,0,0,0
G11000100002024,110010002024,G11000100002012,110010002012,0.0915792826,0.0165021387,0.0146236607,0.0756046531,0.0306741819,0.0366146045,0.0457797696,0.0173309128
G11000100002024,110010002024,G11000100002024,110010002024,0.9084145327,0.9834978613,0.9853763393,0.9243953469,0.9693258181,0.9633853955,0.9542202304,0.9826690872
G11000100003001,110010003001,G11000100003001,110010003001,1,1,1,1,1,1,1,1
G11000100003002,110010003002,G11000100003002,110010003002,1,1,1,1,1,1,1,1
G11000100003003,110010003003,G11000100003003,110010003003,1,1,1,1,1,1,1,1
G11000100003004,110010003004,G11000100003004,110010003004,1,1,1,1,1,1,1,1
G11000100004001,110010004001,G11000100004001,110010004001,0.9987910016,1,1,1,1,1,1,1
G11000100004001,110010004001,G11000100007022,110010007022,0.0012089984,0,0,0,0,0,0,0
G11000100004002,110010004002,G11000100004002,110010004002,0.9988806929,1,1,1,1,1,1,1
G11000100004002,110010004002,G11000100005013,110010005013,0.0011193071,0,0,0,0,0,0,0
G11000100005011,110010005011,G11000100005011,110010005011,0.9955754404,1,1,1,1,1,1,1
G11000100005011,110010005011,G11000100013044,110010013044,0.0044245596,0,0,0,0,0,0,0
G11000100005012,110010005012,G11000100005012,110010005012,0.1193864087,0.5464628845,0.5450477999,0.5100880208,0.5468393349,0.5449821581,0.3161040006,0.5728674061
G11000100005012,110010005012,G11000100005013,110010005013,0.8806135913,0.4535371155,0.4549522001,0.4899119792,0.4531606651,0.4550178419,0.6838959994,0.4271325939
G11000100005021,110010005021,G11000100005021,110010005021,1,1,1,1,1,1,1,1
G11000100005022,110010005022,G11000100005022,110010005022,1,1,1,1,1,1,1,1
G11000100006001,110010006001,G11000100006001,110010006001,0.9955373762,1,1,1,1,1,1,1
G11000100006001,110010006001,G11000100012004,110010012004,0.0044626238,0,0,0,0,0,0,0
G11000100006002,110010006002,G11000100006002,110010006002,1,1,1,1,1,1,1,1
G11000100006003,110010006003,G11000100006003,110010006003,1,1,1,1,1,1,1,1
G11000100006004,110010006004,G11000100006004,110010006004,1,1,1,1,1,1,1,1
G11000100007011,110010007011,G11000100007041,110010007041,1,1,1,1,1,1,1,1
G11000100007012,110010007012,G11000100007031,110010007031,1,1,1,1,1,1,1,1
G11000100007013,110010007013,G11000100007032,110010007032,1,1,1,1,1,1,1,1
G11000100007014,110010007014,G11000100007022,110010007022,0.0356216824,0.0179828084,0.016277432,0.0226132319,0.0137083481,0.0134361131,0.0304703718,0.0031875034
G11000100007014,110010007014,G11000100007042,110010007042,0.9643783176,0.9820171916,0.983722568,0.9773867681,0.9862916519,0.9865638869,0.9695296282,0.9968124966
G11000100007021,110010007021,G11000100007021,110010007021,1,1,1,1,1,1,1,1
G11000100007022,110010007022,G11000100007022,110010007022,1,1,1,1,1,1,1,1
G11000100007023,110010007023,G11000100007023,110010007023,1,1,1,1,1,1,1,1
