GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,CNECTA,NECTADIV,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,ASVKE001,ASVKE002,ASVKE003,ASVKE004,ASVKE005,ASVKE006,ASVKE007,ASVKE008,ASVKE009,ASVKE010,ASVKE011,ASVKE012,ASVKE013,ASVKE014,ASVKE015,ASVKE016,ASVKE017,ASVKE018,ASVKE019,ASVKE020,ASVKE021,ASVKE022,ASVKE023,ASVKE024,ASVKE025,ASVKE026,ASVKE027,ASVKE028,ASVKE029,ASVKE030,ASVKE031,ASVKE032,ASVKE033,ASVKE034,ASVKE035,ASVKE036,ASVKE037,ASVKE038,ASVKE039,ASVKE040,ASVKE041,ASVKE042,ASVKE043,ASVKE044,ASVKE045,ASVKE046,ASVKE047,ASVKE048,ASVKE049,ASVKE050,ASVKE051,ASVKE052,ASVKE053,ASVKE054,ASVKE055,ASVKE056,ASVKE057,ASVKE058,ASVKE059,ASVKE060,ASVKE061,ASVKE062,ASVKE063,ASVKE064,NAME_M,ASVKM001,ASVKM002,ASVKM003,ASVKM004,ASVKM005,ASVKM006,ASVKM007,ASVKM008,ASVKM009,ASVKM010,ASVKM011,ASVKM012,ASVKM013,ASVKM014,ASVKM015,ASVKM016,ASVKM017,ASVKM018,ASVKM019,ASVKM020,ASVKM021,ASVKM022,ASVKM023,ASVKM024,ASVKM025,ASVKM026,ASVKM027,ASVKM028,ASVKM029,ASVKM030,ASVKM031,ASVKM032,ASVKM033,ASVKM034,ASVKM035,ASVKM036,ASVKM037,ASVKM038,ASVKM039,ASVKM040,ASVKM041,ASVKM042,ASVKM043,ASVKM044,ASVKM045,ASVKM046,ASVKM047,ASVKM048,ASVKM049,ASVKM050,ASVKM051,ASVKM052,ASVKM053,ASVKM054,ASVKM055,ASVKM056,ASVKM057,ASVKM058,ASVKM059,ASVKM060,ASVKM061,ASVKM062,ASVKM063,ASVKM064
"G11000100001011","2019-2023","DC",,,"District of Columbia","11","District of Columbia","001",,,"000101","1",,,,,,,,,,,".",".",,,,,,,,,,,,"1500000US110010001011",,,"110010001011","Block Group 1, Census Tract 1.01, District of Columbia, District of Columbia",367,7,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,7,0,20,0,0,0,0,0,0,20,0,18,0,0,0,0,0,0,18,0,32,0,0,0,12,0,20,0,0,30,0,8,0,14,0,8,0,0,253,109,76,46,22,0,0,0,0,"Block Group 1, Census Tract 1.01, District of Columbia, District of Columbia",110,11,14,14,14,14,14,14,11,14,13,14,14,14,14,14,14,13,14,32,14,14,14,14,14,14,32,14,21,14,14,14,14,14,14,21,14,36,14,14,14,19,14,30,14,14,25,14,12,14,16,14,12,14,14,115,85,78,58,33,14,14,14,14
"G11000100001021","2019-2023","DC",,,"District of Columbia","11","District of Columbia","001",,,"000102","1",,,,,,,,,,,".",".",,,,,,,,,,,,"1500000US110010001021",,,"110010001021","Block Group 1, Census Tract 1.02, District of Columbia, District of Columbia",432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,9,9,0,0,0,0,0,0,0,404,132,56,0,72,0,135,9,0,"Block Group 1, Census Tract 1.02, District of Columbia, District of Columbia",222,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,14,14,14,14,14,17,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,221,75,52,14,79,14,203,16,14
"G11000100001022","2019-2023","DC",,,"District of Columbia","11","District of Columbia","001",,,"000102","2",,,,,,,,,,,".",".",,,,,,,,,,,,"1500000US110010001022",,,"110010001022","Block Group 2, Census Tract 1.02, District of Columbia, District of Columbia",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,26,0,0,0,0,14,0,0,"Block Group 2, Census Tract 1.02, District of Columbia, District of Columbia",33,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,33,26,14,14,14,14,22,14,14
"G11000100001023","2019-2023","DC",,,"District of Columbia","11","District of Columbia","001",,,"000102","3",,,,,,,,,,,".",".",,,,,,,,,,,,"1500000US110010001023",,,"110010001023","Block Group 3, Census Tract 1.02, District of Columbia, District of Columbia",146,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,20,16,0,57,28,29,0,0,0,0,0,0,"Block Group 3, Census Tract 1.02, District of Columbia, District of Columbia",101,14,14,14,14,14,14,14,14,14,86,14,14,14,14,14,14,14,86,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,30,14,14,14,14,14,26,26,14,46,34,33,14,14,14,14,14,14
"G11000100002011","2019-2023","DC",,,"District of Columbia","11","District of Columbia","001",,,"000201","1",,,,,,,,,,,".",".",,,,,,,,,,,,"1500000US110010002011",,,"110010002011","Block Group 1, Census Tract 2.01, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Block Group 1, Census Tract 2.01, District of Columbia, District of Columbia",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
"G11000100002012","2019-2023","DC",,,"District of Columbia","11","District of Columbia","001",,,"000201","2",,,,,,,,,,,".",".",,,,,,,,,,,,"1500000US110010002012",,,"110010002012","Block Group 2, Census Tract 2.01, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Block Group 2, Census Tract 2.01, District of Columbia, District of Columbia",14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
"G11000100002021","2019-2023","DC",,,"District of Columbia","11","District of Columbia","001",,,"000202","1",,,,,,,,,,,".",".",,,,,,,,,,,,"1500000US110010002021",,,"110010002021","Block Group 1, Census Tract 2.02, District of Columbia, District of Columbia",111,8,0,0,0,0,0,0,8,0,33,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,14,10,0,0,0,38,0,15,0,23,0,0,0,0,8,0,0,0,0,0,0,8,0,"Block Group 1, Census Tract 2.02, District of Columbia, District of Columbia",74,14,14,14,14,14,14,14,14,14,52,14,14,14,14,14,14,52,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,34,14,14,14,25,19,14,14,14,46,14,24,14,38,14,14,14,14,14,14,14,14,14,14,14,14,14
"G11000100002022","2019-2023","DC",,,"District of Columbia","11","District of Columbia","001",,,"000202","2",,,,,,,,,,,".",".",,,,,,,,,,,,"1500000US110010002022",,,"110010002022","Block Group 2, Census Tract 2.02, District of Columbia, District of Columbia",37,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,"Block Group 2, Census Tract 2.02, District of Columbia, District of Columbia",34,14,14,14,14,14,14,14,14,14,17,14,14,14,14,14,14,17,14,14,14,14,14,14,14,14,14,14,19,14,14,14,14,14,19,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,24,24,14,14,14,14,14,14,14
"G11000100002023","2019-2023","DC",,,"District of Columbia","11","District of Columbia","001",,,"000202","3",,,,,,,,,,,".",".",,,,,,,,,,,,"1500000US110010002023",,,"110010002023","Block Group 3, Census Tract 2.02, District of Columbia, District of Columbia",142,56,0,0,0,0,0,0,51,5,9,0,0,0,0,0,0,9,0,15,0,0,0,0,0,0,15,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,14,11,32,13,19,0,0,0,0,0,0,"Block Group 3, Census Tract 2.02, District of Columbia, District of Columbia",69,57,14,14,14,14,14,14,56,9,14,14,14,14,14,14,14,14,14,20,14,14,14,14,14,14,20,14,9,14,14,14,14,14,14,9,14,14,14,14,14,14,14,14,14,14,30,14,14,14,14,14,14,22,20,37,22,29,14,14,14,14,14,14
"G11000100002024","2019-2023","DC",,,"District of Columbia","11","District of Columbia","001",,,"000202","4",,,,,,,,,,,".",".",,,,,,,,,,,,"1500000US110010002024",,,"110010002024","Block Group 4, Census Tract 2.02, District of Columbia, District of Columbia",202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,13,54,0,0,80,0,0,20,10,0,35,0,15,"Block Group 4, Census Tract 2.02, District of Columbia, District of Columbia",103,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,56,14,14,14,14,14,14,56,14,14,14,14,14,14,14,14,14,14,79,14,14,14,14,21,79,14,14,61,14,14,34,15,14,42,14,23
