X,Y,OBJECTID,PID,SSL,PMPROPERTYID,PROPERTYNAME,PMPARENTPROPERTYID,PARENTPROPERTYNAME,REPORTSTATUS,ADDRESSOFRECORD,OWNEROFRECORD,WARD,REPORTEDADDRESS,CITY,STATE,POSTALCODE,YEARBUILT,PRIMARYPROPERTYTYPE_SELFSELECT,PRIMARYPROPERTYTYPE_EPACALC,TAXRECORDFLOORAREA,REPORTEDBUILDINGGROSSFLOORAREA,ENERGYSTARSCORE,SITEEUI_KBTU_FT,WEATHERNORMALZEDSITEEUI_KBTUFT,SOURCEEUI_KBTU_FT,WEATHERNORMALZEDSOUREUI_KBTUFT,TOTGHGEMISSIONS_METRICTONSCO2E,TOTGHGEMISSINTENSITY_KGCO2EFT,WATERSCORE_MFPROPERTIES,WATERUSE_ALLWATERSOURCES_KGAL,NATURALGASUSE_THERMS,FUELOILANDDIESELFUELUSEKBTU,METEREDAREAS_ENERGY,METEREDAREAS_WATER,DISTRCHILLEDWATER_KBTU,DISTRHOTWATER_KBTU,DISTRSTEAM_KBTU,ELECTRICITYUSE_RENEWABLE_KWH,ELECTRICITYUSE_GRID_KWH,NATURALGAS_KBTU_JANUARY,NATURALGAS_KBTU_FEBRUARY,NATURALGAS_KBTU_MARCH,NATURALGAS_KBTU_APRIL,NATURALGAS_KBTU_MAY,NATURALGAS_KBTU_JUNE,NATURALGAS_KBTU_JULY,NATURALGAS_KBTU_AUGUST,NATURALGAS_KBTU_SEPTEMBER,NATURALGAS_KBTU_OCTOBER,NATURALGAS_KBTU_NOVEMBER,NATURALGAS_KBTU_DECEMBER,ELECTRICITYUSE_KBTU_JANUARY,ELECTRICITYUSE_KBTU_FEBRUARY,ELECTRICITYUSE_KBTU_MARCH,ELECTRICITYUSE_KBTU_APRIL,ELECTRICITYUSE_KBTU_MAY,ELECTRICITYUSE_KBTU_JUNE,ELECTRICITYUSE_KBTU_JULY,ELECTRICITYUSE_KBTU_AUGUST,ELECTRICITYUSE_KBTU_SEPTEMBER,ELECTRICITYUSE_KBTU_OCTOBER,ELECTRICITYUSE_KBTU_NOVEMBER,ELECTRICITYUSE_KBTU_DECEMBER,LATITUDE,LONGITUDE,ADDRESSID,XCOORD,YCOORD,GIS_LAST_MOD_DTTM,LASTUPDATE,UBID,REPORTINGYEAR,ENFORCEMENT_ACTION,VERIFIER_NAME,VERIFIER_ORGANIZATION
-8577768.688,4707934.1172,5426577,DC0004N0027,0004N 0027,,,,,Exempt from this year's disclosure,2626 PENNSYLVANIA AVE NW,SALVATION ARMY,2,,WASHINGTON,DC,20037,1974,,,36407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.90402302,-77.05540486,273897,395194.239657469,137353.347473448,2025/10/27 22:01:24+00,2025/10/08 00:00:00+00,,2021,,,
-8577734.5452,4707927.3468,5426578,DC0004N2526,0004N 2526,,,,,Exempt from this year's disclosure,2600 PENNSYLVANIA AVE NW,2600 PENNSYLVANIA,2,,WASHINGTON,DC,20037,2001,,,30899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.90397569,-77.05509815,274801,395220.84019179,137348.077359592,2025/10/27 22:01:24+00,2025/10/26 00:00:00+00,,2021,,,
-8577762.7807,4707400.2798,5426579,DC00060042,0006 0042,,,,,Exempt from this year's disclosure,2601 VIRGINIA AV NW,DC BOATHOUSE LLC UIP INVEST LLC,2,,WASHINGTON,DC,20037,1962,,,173856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9002910359,-77.0553517929,273875,395198.591445488,136939.064450471,2025/10/27 22:01:24+00,,,2016,,,
-8577762.5254,4707399.2133,5426580,DC00060042,0006 0042,,,,,Exempt from this year's disclosure,2601 VIRGINIA AVE NW,DC BOATHOUSE LLC,2,,WASHINGTON,DC,20037,1962,,,173856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.90028358,-77.0553495,273875,395198.789840335,136938.236661232,2025/10/27 22:01:24+00,,,2018,,,
-8577762.5254,4707399.2133,5426581,DC00060042,0006 0042,,,,,Exempt from this year's disclosure,2601 VIRGINIA AVE NW,DC BOATHOUSE LLC,2,,WASHINGTON,DC,20037,1962,,,173856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.90028358,-77.0553495,273875,395198.789840335,136938.236661232,2025/10/27 22:01:24+00,,,2019,,,
-8577762.2071,4707395.3254,5426582,DC00060825,0006 0825,,,,,Exempt from this year's disclosure,2601 VIRGINIA AV NW,GEORGE WASHINGTON UNIVERSITY,2,,,,,1965,,,173856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9002564,-77.0553466415,273875,395199.035967885,136935.219313432,2025/10/27 22:01:24+00,2023/03/14 00:00:00+00,,2015,,,
-8577860.2444,4707327.304,5426583,DC00080809,0008 0809,,,,,No Report Received,2700 VIRGINIA AV NW,WATERGATE WEST INC,2,,WASHINGTON,DC,,1965,,,307708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8997808577,-77.0562273244,279608,395122.609900055,136882.477002366,2025/10/27 22:01:24+00,,,2012,,,
-8577837.8284,4707260.461,5426584,DC00082881,0008 2881,,,,,No Report Received,2650 VIRGINIA AVENUE NW,THE WATERGATE HOTEL CONDO,2,,WASHINGTON,DC,,,,,163681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8993135503,-77.0560259582,279606,395140.045400056,136830.591402362,2025/10/27 22:01:24+00,,,2012,,,
-8577817.5061,4707263.9439,5426585,DC00082881,0008 2881,,,,,No Report Received,2650 VIRGINIA AVENUE NW,THE WATERGATE HOTEL CONDO,2,,WASHINGTON,DC,,2009,,,163681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8993379,-77.0558434,279606,395155.883006179,136833.284715887,2025/10/27 22:01:24+00,,,2013,,,
-8577817.5061,4707263.9439,5426586,DC00082881,0008 2881,,,,,No Report Received,2650 VIRGINIA AVENUE NW,THE WATERGATE HOTEL CONDO,2,,WASHINGTON,DC,,2009,,,163681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8993379,-77.0558434,279606,395155.883006179,136833.284715887,2025/10/27 22:01:24+00,,,2014,,,
-8577815.0831,4707264.6151,5426587,DC00082881,0008 2881,,,,,Exempt from this year's disclosure,2650 VIRGINIA AVENUE NW,THE WATERGATE HOTEL CONDO,,,Washington,DC,20037,2009,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8993425922,-77.0558216336,279606,395157.771439607,136833.804428186,2025/10/27 22:01:24+00,,,2015,,,
-8577815.0831,4707264.6151,5426588,DC00082881,0008 2881,,,,,No Report Received,2650 VIRGINIA AVE NW,THE WATERGATE HOTEL CONDO,2,,WASHINGTON,DC,20037,2009,,,163681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8993425922,-77.0558216336,279606,395157.771439607,136833.804428186,2025/10/27 22:01:24+00,,,2016,,,
-8577591.9336,4708147.4935,5426589,DC00132073,0013 2073,,,,,Exempt from this year's disclosure,2501 M ST NW,ASSOCIATION OF AMERICAN MEDICAL COLLEGES,2,,WASHINGTON,DC,,1986,,,159396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.90551465,-77.0538170485,274800,395332.062389204,137518.84808306,2025/10/27 22:01:24+00,2025/06/26 00:00:00+00,,2016,,,
-8577636.0425,4708073.4192,5426590,DC00140068,0014 0068,,,,,No Report Received,2550 M ST NW,CARR CRHP DC/VA PROPERTIES LLC,2,,WASHINGTON,DC,20037,1978,,,209866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9049968291,-77.0542132853,277177,395297.659798059,137461.386098359,2025/10/27 22:01:24+00,,,2014,,,
-8577635.7063,4708070.6598,5426591,DC00140068,0014 0068,,,,,Exempt from this year's disclosure,2550 M ST NW,MAPS 2550 M STREET LLC,2,,Washington,DC,20037,1978,,,209866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9049775387,-77.0542102656,277177,395297.920453827,137459.244558311,2025/10/27 22:01:24+00,2025/08/05 00:00:00+00,,2015,,,
-8577558.185,4707931.4336,5426592,DC00141330,0014 1330,,,,,Exempt from this year's disclosure,1100 25TH ST NW,2501 PENNSYLVANIA AVE,2,,WASHINGTON,DC,20037,2009,,,44115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.90400426,-77.05351388,274069,395358.260070047,137351.167112627,2025/10/27 22:01:24+00,,,2021,,,
-8577628.1884,4707769.7353,5426593,DC00150004,0015 0004,,,,,Exempt from this year's disclosure,2517 K ST NW,SHOREMEADE LLC,2,,WASHINGTON,DC,20037,1938,,,31633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.90287387,-77.05414273,273881,395303.639839253,137225.716868992,2025/10/27 22:01:24+00,2025/10/26 00:00:00+00,,2021,,,
-8577627.8109,4707847.2719,5426594,DC00150827,0015 0827,,,,,Exempt from this year's disclosure,2520 L STREET NW,DC CORPORATION CHURCH OF JESUS CHRIST OFLATTER-DAY SAINTS,2,,WASHINGTON,DC,20037,1923,,,22236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.90341591,-77.05413934,273886,395303.969573815,137285.887502967,2025/10/27 22:01:24+00,,,2024,,,
-8577567.0673,4707801.4071,5426595,DC00152001,0015 2001,,,,,Exempt from this year's disclosure,1010 25TH ST NW,THE SWARTHMORE CONDO,2,,WASHINGTON,DC,20037,1938,,,46011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.90309528,-77.05359367,274889,395351.279927975,137250.267059431,2025/10/27 22:01:24+00,2025/08/21 00:00:00+00,,2021,,,
