"Property/Plant ID","Building Name",Address1,Address2,City,State,Zip,"Building Owner","Property Manager","Gross Floor Area","Number of Years Certified","Certification Years",Score(s),"Property Type","Year constructed","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
10238517,"	THE LOCKWOOD (LC018)","1339 E Street SE",,Washington,DC,20003,Bozzuto,,142538,3," 2022, 2023 , 2024","96, 98 , 98","Multifamily Housing",2019,38.882622,-76.986626,1,rooftop,"1339 E St SE",,"Washington, DC 20003",1339,"E St SE",,,Washington,DC,"District of Columbia",20003,US,"Statewide (City of Washington)"
1029531,"	600 E STREET","600 E Street, NW",,Washington,DC,20004,"S. C. Herman & Associates, Inc.",,356387,5," 2004, 2009 , 2014 , 2016 , 2017","77, 85 , 78 , 92 , 91",Office,1975,38.895819,-77.020521,1,rooftop,"600 E St NW",,"Washington, DC 20004",600,"E St NW",,,Washington,DC,"District of Columbia",20004,US,"Statewide (City of Washington)"
1030273,"	1919 PENN AVE","1919 Pennsylvania Ave. NW",,Washington,DC,20006,"Tishman Speyer",,265243,5," 2008, 2010 , 2011 , 2017 , 2018","75, 75 , 79 , 80 , 81",Office,1978,38.900921,-77.04431,1,rooftop,"1919 Pennsylvania Ave NW",,"Washington, DC 20006",1919,"Pennsylvania Ave NW",,,Washington,DC,"District of Columbia",20006,US,"Statewide (City of Washington)"
1030284,"	1255 23RD STREET","1255 23rd Street, NW",100,Washington,DC,20037,"DWF V 1255 23rd Street, LLC","Cushman & Wakefield",358737,12," 2008, 2010 , 2012 , 2013 , 2015 , 2016 , 2017 , 2018 , 2021 , 2022 , 2023 , 2024","78, 90 , 88 , 92 , 88 , 91 , 91 , 91 , 82 , 84 , 84 , 83",Office,1983,38.906403,-77.049789,1,rooftop,"1255 23rd St NW",,"Washington, DC 20037",1255,"23rd St NW",,,Washington,DC,"District of Columbia",20037,US,"Statewide (City of Washington)"
1031820,"	1200 NINETEENTH STREET LLC","1200 19th St. NW",,Washington,DC,20036,"Forsterlane Realty Inc",,337978,10," 2013, 2014 , 2015 , 2016 , 2017 , 2018 , 2019 , 2021 , 2022 , 2024","94, 93 , 95 , 96 , 94 , 94 , 89 , 93 , 92 , 87",Office,1964,38.906115,-77.043871,1,rooftop,"1200 19th St NW",,"Washington, DC 20036",1200,"19th St NW",,,Washington,DC,"District of Columbia",20036,US,"Statewide (City of Washington)"
1034322,"	AMERICAN CHEMICAL SOCIETY - HEADQUARTERS","1155 16th Street, N.W.",,Washington,DC,20036,"American Chemical Society",,115470,14," 2006, 2008 , 2009 , 2010 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 , 2019 , 2022 , 2023 , 2024","87, 80 , 90 , 90 , 84 , 88 , 89 , 91 , 90 , 87 , 85 , 79 , 84 , 80",Office,1954,38.905337,-77.036077,1,rooftop,"1155 16th St NW",,"Washington, DC 20036",1155,"16th St NW",,,Washington,DC,"District of Columbia",20036,US,"Statewide (City of Washington)"
1034332,"	AMERICAN CHEMICAL SOCIETY - 1550 BUILDING","1550 M St. NW",,Washington,DC,20005-1703,"American Chemical Society",,85277,12," 2008, 2009 , 2010 , 2012 , 2013 , 2014 , 2015 , 2017 , 2018 , 2019 , 2023 , 2024","80, 86 , 92 , 90 , 90 , 90 , 89 , 90 , 92 , 81 , 82 , 87",Office,1987,38.905367,-77.035726,1,rooftop,"1550 M St NW",,"Washington, DC 20005",1550,"M St NW",,,Washington,DC,"District of Columbia",20005,US,"Statewide (City of Washington)"
1034459,"	1090 VERMONT AVENUE NW","1090 Vermont Avenue NW",,Washington,DC,20005,"TF Cornerstone, Inc",,163045,11," 2010, 2012 , 2015 , 2016 , 2017 , 2018 , 2020 , 2021 , 2022 , 2023 , 2024","80, 78 , 82 , 86 , 87 , 87 , 76 , 77 , 75 , 84 , 81",Office,1982,38.903461,-77.033674,1,rooftop,"1090 Vermont Ave NW",,"Washington, DC 20005",1090,"Vermont Ave NW",,,Washington,DC,"District of Columbia",20005,US,"Statewide (City of Washington)"
1035360,"	IMF HQ1","700 19th Street, N.W.",,Washington,DC,20431,"International Monetary Fund (IMF)","ABM Industries",1708000,10," 2004, 2005 , 2006 , 2007 , 2008 , 2009 , 2012 , 2023 , 2024 , 2025","100, 100 , 79 , 77 , 78 , 83 , 75 , 95 , 94 , 92",Office,1979,38.899012,-77.043932,1,rooftop,"700 19th St NW",,"Washington, DC 20431",700,"19th St NW",,,Washington,DC,"District of Columbia",20431,US,"Statewide (City of Washington)"
10388826,"	THE DARCY HOTEL","1515 Rhode Island Avenue, NW",,Washington,DC,20005-5504,"Northwood Hospitality LLC",,183223,1," 2020",76,Hotel,1960,38.907943,-77.03551,1,rooftop,"1515 Rhode Island Ave NW",,"Washington, DC 20005",1515,"Rhode Island Ave NW",,,Washington,DC,"District of Columbia",20005,US,"Statewide (City of Washington)"
