"year","ISSUE_DATE","PERMIT_SUBTYPE_NAME","DESC_OF_WORK","FULL_ADDRESS","street","zip"
2009,"2009/06/26 04:00:00+00","ADDITION","Flash Mount 12 solar panels to the roof per attached Plans","4426 ELLICOTT ST NW, WASHINGTON, DC 20016","4426 ELLICOTT ST NW","20016"
2009,"2009/05/27 04:00:00+00","ADDITION ALTERATION REPAIR","INSTALL TWELVE (12) SANYO 200W PHOTOVOLTACIC PANELS ON THE ROOF.","3834 LEGATION ST NW, WASHINGTON, DC 20015","3834 LEGATION ST NW","20015"
2009,"2009/12/16 05:00:00+00","ALTERATION AND REPAIR","INSTALL (18) SOLAR PANELS ON THE EXISTING ROOF OF AN EXISTING SFD.","1709 LAMONT ST NW, WASHINGTON, DC 20010","1709 LAMONT ST NW","20010"
2009,"2009/12/16 05:00:00+00","ALTERATION AND REPAIR","INSTALL (16) SOLAR PANELS ON ROOF OF SFD.","1832 LAMONT ST NW, WASHINGTON, DC 20010","1832 LAMONT ST NW","20010"
2009,"2009/12/18 05:00:00+00","ALTERATION AND REPAIR","INSTALL (12) SOLAR PANELS FLUSH MOUNTED TO EXISTING ROOF OF SFD","5842 SHERIER PL NW, WASHINGTON, DC 20016","5842 SHERIER PL NW","20016"
2009,"2009/03/10 04:00:00+00","ALTERATION AND REPAIR","INSTALL 2.28 KW SOLAR ARRAY. (12) EVERGREEN 190'S APPROXIMATELY 10"" HIGH OFF THE EXISTING sfd ROOF.","2506 CLIFFBOURNE PL NW, WASHINGTON, DC","2506 CLIFFBOURNE PL NW",NA
2009,"2009/06/11 04:00:00+00","ALTERATION AND REPAIR","INSTALL 2.9 KW SOLAR ELECTRIC SYSTEM.","3907 MCKINLEY ST NW, WASHINGTON, DC 20015","3907 MCKINLEY ST NW","20015"
2009,"2009/07/17 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PHOTOVOLTAIC SYSTEM TO CONSIST OF:
27- SUNTECH 175 WATY MODULES
1- SUNNYBOY 5000US INVERTER
1- SMA MONITORING SYSTEM","3522 QUESADA ST NW, WASHINGTON, DC 20015","3522 QUESADA ST NW","20015"
2009,"2009/08/03 04:00:00+00","ALTERATION AND REPAIR","INSTALL (12) SOLAR PANELS ON ROOF - NOT VISIBLE FROM STREET.","2806 27TH ST NW, WASHINGTON, DC 20008","2806 27TH ST NW","20008"
2009,"2009/08/04 04:00:00+00","ALTERATION AND REPAIR","SOLAR ELECTIC INSTALLATION 
GROUND-MOUNTER SYSTEM INSTALLED IN YARD AND CONNECTED TO HOUSE","2830 UPTON ST NW, WASHINGTON, DC 20008","2830 UPTON ST NW","20008"
2009,"2009/07/29 04:00:00+00","ALTERATION AND REPAIR","SOLAR ELECTRIC INSTALLATION ON ROOF AND CONNECTED TO HOUSE","112 RITTENHOUSE ST NW, WASHINGTON, DC 20011","112 RITTENHOUSE ST NW","20011"
2009,"2009/07/29 04:00:00+00","ALTERATION AND REPAIR","INSTALL 3.15 KW SOLAR SYSTEM ON ROOF.","3501 ORDWAY ST NW, WASHINGTON, DC 20016","3501 ORDWAY ST NW","20016"
2009,"2009/07/01 04:00:00+00","ALTERATION AND REPAIR","INSTALL 2.7KV ROOFTOP SOLAR SYSTEM CONSISTING OF: 12 SPR 225 SOLAR MODULES, 1 SMA 3000 INVERTER AND INVERTER MONITOR.","3804 ALBEMARLE ST NW, WASHINGTON, DC 20016","3804 ALBEMARLE ST NW","20016"
2009,"2009/07/13 04:00:00+00","ALTERATION AND REPAIR","INSTALL 5.4 KW ROOF TOP SOLAS SYSTEM CONSITING OF: 24 SPR SOLAR MODULES, 1 SPR 5000 INVERTER & INVERTER MONITOR.","1312 Q ST NW, WASHINGTON, DC 20009","1312 Q ST NW","20009"
2009,"2009/04/24 04:00:00+00","ALTERATION AND REPAIR","INSTALL 8 SOLAR PANLES ON FLAT ROOF.","5221 KANSAS AVE NW, WASHINGTON, DC 20011","5221 KANSAS AVE NW","20011"
2009,"2009/02/03 05:00:00+00","ALTERATION AND REPAIR","MOUNT 6 (SIX) SANYO PHOTOVOLTAIC PANELS ON THE ROOF.","5236 SHERIER PL NW, WASHINGTON, DC","5236 SHERIER PL NW",NA
2009,"2009/09/16 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF","1704 KENYON ST NW, WASHINGTON, DC 20010","1704 KENYON ST NW","20010"
2009,"2009/08/25 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF","1639 HOBART ST NW, WASHINGTON, DC 20009","1639 HOBART ST NW","20009"
2009,"2009/08/25 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF","36 FLORIDA AVE NW, WASHINGTON, DC 20001","36 FLORIDA AVE NW","20001"
2009,"2009/09/22 04:00:00+00","ALTERATION AND REPAIR","INSTALL PHOTOVOLTAIC SYSTEM ON ROOF.","1831 KILBOURNE PL NW, WASHINGTON, DC 20010","1831 KILBOURNE PL NW","20010"
2009,"2009/09/22 04:00:00+00","ALTERATION AND REPAIR","INSTALL PHOTOVOLTAIC SYSTEM ON ROOF.","1835 KILBOURNE PL NW, WASHINGTON, DC 20010","1835 KILBOURNE PL NW","20010"
2009,"2009/09/24 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF.","1631 NEWTON ST NW, WASHINGTON, DC 20010","1631 NEWTON ST NW","20010"
2009,"2009/08/13 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF","1348 NEWTON ST NE, WASHINGTON, DC 20017","1348 NEWTON ST NE","20017"
2009,"2009/02/09 05:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PHOTOVOLTAIC SYSTEM TO CONSIST OF: -15 SUNPOWER 225 WATT MODULES. -1 SUNPOWER SPR 600M INVERTER.","732 9TH ST SE, WASHINGTON, DC","732 9TH ST SE",NA
2009,"2009/09/24 04:00:00+00","ALTERATION AND REPAIR","INSTALL PHOTOVOLTAIC SYSTEM ON ROOF.","1712 IRVING ST NW, WASHINGTON, DC 20010","1712 IRVING ST NW","20010"
2009,"2009/09/30 04:00:00+00","ALTERATION AND REPAIR","INSTALL PHOTOVOLTAIC SYSTEM(SOLAR PANELS) ON THE ROOF.","4573 INDIAN ROCK TER NW, WASHINGTON, DC 20007","4573 INDIAN ROCK TER NW","20007"
2009,"2009/04/29 04:00:00+00","ALTERATION AND REPAIR","INSTALL: 12 SPR 225 SOLAR MODULES, 1 SMA 3000 INVERTER AND MONITOR.","5827 POTOMAC AVE NW, WASHINGTON, DC 20016","5827 POTOMAC AVE NW","20016"
2009,"2009/04/29 04:00:00+00","ALTERATION AND REPAIR","INSTALL: 12 SPR 225 SOLAR PANELS, 1 SPR 3000 INVERTER, AND INVERTER MONITOR.","5115 CATHEDRAL AVE NW, WASHINGTON, DC 20016","5115 CATHEDRAL AVE NW","20016"
2009,"2009/09/30 04:00:00+00","ALTERATION AND REPAIR","INSTALL PHOTOVOLTAIC SYSTEM (SOLAR PANELS) ON THE  ROOF.","1818 INGLESIDE TER NW, WASHINGTON, DC 20010","1818 INGLESIDE TER NW","20010"
2009,"2009/09/30 04:00:00+00","ALTERATION AND REPAIR","INSTALL PHOTOVOLTAIC SYSTEM (SOLAR PANELS) ON THE  ROOF.","3207 19TH ST NW, WASHINGTON, DC 20010","3207 19TH ST NW","20010"
2009,"2009/09/24 04:00:00+00","ALTERATION AND REPAIR","INSTALL PHOTOVOLTAIC SYSTEM ON ROOF.","1751 KILBOURNE PL NW, WASHINGTON, DC 20010","1751 KILBOURNE PL NW","20010"
2009,"2009/09/24 04:00:00+00","ALTERATION AND REPAIR","INSTALL PHOTOVOLTAIC SYSTEM ON ROOF.","1804 IRVING ST NW, WASHINGTON, DC 20010","1804 IRVING ST NW","20010"
2009,"2009/10/30 04:00:00+00","ALTERATION AND REPAIR","INSTALL 76 PV PANELS ON ROOF  TO PROVIDE 14.43KW  SOLAR ENERGY.","3001 WISCONSIN AVE NW, WASHINGTON, DC 20016","3001 WISCONSIN AVE NW","20016"
2009,"2009/10/01 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF.","6810 LAUREL ST NW, WASHINGTON, DC 20012","6810 LAUREL ST NW","20012"
2009,"2009/10/23 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF OF AN EXISTING SFD.","1716 NEWTON ST NW, WASHINGTON, DC 20010","1716 NEWTON ST NW","20010"
2009,"2009/10/23 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON AN EXISTING SFD'S ROOF.","1421 LOCUST RD NW, WASHINGTON, DC 20012","1421 LOCUST RD NW","20012"
2009,"2009/10/23 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS O ROOF","3202 18TH ST NW, WASHINGTON, DC 20010","3202 18TH ST NW","20010"
2009,"2009/10/23 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF","3340 17TH ST NW, WASHINGTON, DC 20010","3340 17TH ST NW","20010"
2009,"2009/10/23 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF","3336 17TH ST NW, WASHINGTON, DC 20010","3336 17TH ST NW","20010"
2009,"2009/09/22 04:00:00+00","ALTERATION AND REPAIR","INSTALL  PHOTOVOLTAIC SYSTEM ON ROOF.","3326 17TH ST NW, WASHINGTON, DC 20010","3326 17TH ST NW","20010"
2009,"2009/10/30 04:00:00+00","ALTERATION AND REPAIR","INSTALL SOLAR PANELS ON ROOF. SHALL NOT BE VISIBLE FROM LAMONT ST NW.","1704 LAMONT ST NW, WASHINGTON, DC 20010","1704 LAMONT ST NW","20010"
