OBJECTID,SSL,BLDG_NUM,CMPLX_NUM,AYB,YR_RMDL,EYB,ROOMS,BEDRM,BATHRM,HF_BATHRM,HEAT,HEAT_D,AC,FIREPLACES,SALEDATE,PRICE,QUALIFIED,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM
1001,3037    2003,1,5329,1911,2016,1919,4,2,2,0,1,Forced Air,Y,0,2016-12-20T00:00:00.000Z,599900,Q,2,1084,16,716,2018-07-22T18:01:38.000Z
1002,3037    2004,1,5329,1911,2016,1919,4,2,2,0,1,Forced Air,Y,0,2016-12-13T00:00:00.000Z,0,U,3,1237,16,827,2018-07-22T18:01:38.000Z
1003,3037    2005,1,5329,1911,2016,1919,4,2,2,0,1,Forced Air,Y,0,2017-02-22T00:00:00.000Z,677900,U,2,1267,16,844,2018-07-22T18:01:38.000Z
1004,3037    2006,1,5329,1911,2016,1919,4,2,2,0,1,Forced Air,Y,0,2016-12-22T00:00:00.000Z,659900,U,2,1151,16,763,2018-07-22T18:01:38.000Z
1005,3037    2007,1,5329,1911,2016,1919,4,2,2,0,1,Forced Air,Y,0,2016-12-19T00:00:00.000Z,645000,U,2,1080,16,716,2018-07-22T18:01:38.000Z
1006,3037    2008,1,5329,1911,2016,1919,4,2,2,0,1,Forced Air,Y,0,2017-02-10T00:00:00.000Z,690900,Q,2,1405,16,923,2018-07-22T18:01:38.000Z
1007,3037    2009,1,5329,1911,2016,1919,4,2,2,0,1,Forced Air,Y,0,2016-11-08T00:00:00.000Z,695000,U,2,1278,16,844,2018-07-22T18:01:38.000Z
1008,3037    2010,1,5329,1911,2016,1919,4,2,2,0,1,Forced Air,Y,0,2016-12-13T00:00:00.000Z,803500,U,2,1417,16,918,2018-07-22T18:01:38.000Z
1009,3037    2011,1,5329,1911,2016,1919,4,2,2,0,1,Forced Air,Y,0,2016-12-20T00:00:00.000Z,642900,Q,2,1080,16,716,2018-07-22T18:01:38.000Z
1010,3037    2012,1,5329,1911,2016,1919,4,2,2,0,1,Forced Air,Y,0,2017-04-07T00:00:00.000Z,765900,U,2,1405,16,923,2018-07-22T18:01:38.000Z
1011,3037    2013,1,5329,1911,2016,1919,4,2,2,0,1,Forced Air,Y,0,2016-12-13T00:00:00.000Z,738400,U,2,1278,16,844,2018-07-22T18:01:38.000Z
1012,3037    2027,1,5643,2018,,0,,,,,,,,,2018-05-18T00:00:00.000Z,630000,Q,2,0,16,1628,2018-07-22T18:01:38.000Z
1013,3037    2028,1,5643,2018,,0,,,,,,,,,2018-03-19T00:00:00.000Z,709000,Q,2,0,16,1719,2018-07-22T18:01:38.000Z
1014,3037    2029,1,5731,2019,,0,,,,,,,,,2018-07-05T00:00:00.000Z,510000,Q,2,0,16,720,2018-07-22T18:01:38.000Z
1015,3037    2030,1,5731,2019,,0,,,,,,,,,2018-07-02T00:00:00.000Z,529900,Q,2,0,16,720,2018-07-22T18:01:38.000Z
1016,3037    2031,1,5731,2019,,0,,,,,,,,,2018-06-19T00:00:00.000Z,574900,U,2,0,16,720,2018-07-22T18:01:38.000Z
1017,3393    2014,1,3175,2007,,2007,4,2,2,0,1,Forced Air,Y,0,2014-02-20T00:00:00.000Z,264405,Q,1,955,17,471,2018-07-22T18:01:38.000Z
1018,3393    2015,1,3175,2007,,2007,4,2,2,0,1,Forced Air,Y,0,2014-04-22T00:00:00.000Z,274900,Q,1,950,17,471,2018-07-22T18:01:38.000Z
1019,3393    2016,1,3175,2007,,2007,4,2,2,0,1,Forced Air,Y,0,2013-07-11T00:00:00.000Z,252500,Q,1,980,17,471,2018-07-22T18:01:38.000Z
1020,3393    2017,1,3175,2007,,2007,4,2,2,0,1,Forced Air,Y,0,2013-07-10T00:00:00.000Z,289900,Q,1,980,17,471,2018-07-22T18:01:38.000Z
1021,3393    2018,1,3175,2007,,2007,4,2,2,0,1,Forced Air,Y,0,2017-02-03T00:00:00.000Z,0,U,3,955,17,471,2018-07-22T18:01:38.000Z
1022,3393    2019,1,3175,2007,,2007,4,2,2,0,1,Forced Air,Y,0,2014-03-13T00:00:00.000Z,265000,Q,1,950,17,471,2018-07-22T18:01:38.000Z
1023,3393    2020,1,3175,2007,,2007,4,2,2,0,1,Forced Air,Y,0,2013-11-25T00:00:00.000Z,265000,Q,1,980,17,471,2018-07-22T18:01:38.000Z
