FULL_ADDRESS,STREET,CITY,ZIP,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
"4426 ELLICOTT ST NW, WASHINGTON DC, 20016","4426 ELLICOTT ST NW"," WASHINGTON DC"," 20016",38.953069,-77.087349,1,rooftop,"4426 Ellicott St NW",,"Washington, DC 20016",4426,"Ellicott St NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
"1709 LAMONT ST NW, WASHINGTON DC, 20010","1709 LAMONT ST NW"," WASHINGTON DC"," 20010",38.931646,-77.039314,1,rooftop,"1709 Lamont St NW",,"Washington, DC 20010",1709,"Lamont St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"1832 LAMONT ST NW, WASHINGTON DC, 20010","1832 LAMONT ST NW"," WASHINGTON DC"," 20010",38.931242,-77.042877,1,rooftop,"1832 Lamont St NW",,"Washington, DC 20010",1832,"Lamont St NW",,,Washington,DC,"District of Columbia",20010,US,"Statewide (City of Washington)"
"5842 SHERIER PL NW, WASHINGTON DC, 20016","5842 SHERIER PL NW"," WASHINGTON DC"," 20016",38.935241,-77.113175,1,rooftop,"5842 Sherier Pl NW",,"Washington, DC 20016",5842,"Sherier Pl NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
"2506 CLIFFBOURNE PL NW, WASHINGTON DC","2506 CLIFFBOURNE PL NW"," WASHINGTON DC",,38.922727,-77.044913,1,rooftop,"2506 Cliffbourne Pl NW",,"Washington, DC 20009",2506,"Cliffbourne Pl NW",,,Washington,DC,"District of Columbia",20009,US,"Statewide (City of Washington)"
"3907 MCKINLEY ST NW, WASHINGTON DC, 20015","3907 MCKINLEY ST NW"," WASHINGTON DC"," 20015",38.965162,-77.077856,1,rooftop,"3907 McKinley St NW",,"Washington, DC 20015",3907,"McKinley St NW",,,Washington,DC,"District of Columbia",20015,US,"Statewide (City of Washington)"
"3522 QUESADA ST NW, WASHINGTON DC, 20015","3522 QUESADA ST NW"," WASHINGTON DC"," 20015",38.968437,-77.071728,1,rooftop,"3522 Quesada St NW",,"Washington, DC 20015",3522,"Quesada St NW",,,Washington,DC,"District of Columbia",20015,US,"Statewide (City of Washington)"
"2806 27TH ST NW, WASHINGTON DC, 20008","2806 27TH ST NW"," WASHINGTON DC"," 20008",38.926816,-77.05559,1,rooftop,"2806 27th St NW",,"Washington, DC 20008",2806,"27th St NW",,,Washington,DC,"District of Columbia",20008,US,"Statewide (City of Washington)"
"2830 UPTON ST NW, WASHINGTON DC, 20008","2830 UPTON ST NW"," WASHINGTON DC"," 20008",38.941889,-77.057941,1,rooftop,"2830 Upton St NW",,"Washington, DC 20008",2830,"Upton St NW",,,Washington,DC,"District of Columbia",20008,US,"Statewide (City of Washington)"
"112 RITTENHOUSE ST NW, WASHINGTON DC, 20011","112 RITTENHOUSE ST NW"," WASHINGTON DC"," 20011",38.964765,-77.013157,1,rooftop,"112 Rittenhouse St NW",,"Washington, DC 20011",112,"Rittenhouse St NW",,,Washington,DC,"District of Columbia",20011,US,"Statewide (City of Washington)"
