name,size,address,address_clean,number_and_street,City,State,zip,link,lat,lon,confidence,confidence_city_level,confidence_street_level,confidence_building_level,manually checked,manually edited
600 Fifth,364,"600 5th Street NW
 Washington, DC 20001","600 5th Street NW, Washington, DC 20001",600 5th Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/835/600_Fifth,38.897461,-77.019034,1,1,1,1,,
Skyland Town Center Condominium (Final Phase),24,"2704 Marion Barry Ave SE
 Washington, DC 20020","2704 Marion Barry Ave SE, Washington, DC 20020",2704 Marion Barry Ave SE,Washington,District of Columbia,20020,https://dc.urbanturf.com/pipeline/1289/Skyland_Town_Center_Condominium_Final_Phase,38.86043168,-76.96833968,1,1,1,1,,
Bridge District Phase 2,272,"633 Howard Road SE
 Washington, DC 20020","633 Howard Road SE, Washington, DC 20020",633 Howard Road SE,Washington,District of Columbia,20020,https://dc.urbanturf.com/pipeline/1288/Bridge_District_Phase_2,38.86475626,-77.00037309,1,1,1,1,,
Bridge District Phase 1,1575,"633 Howard Road SE
 Washington, DC 20020","633 Howard Road SE, Washington, DC 20020",633 Howard Road SE,Washington,District of Columbia,20020,https://dc.urbanturf.com/pipeline/1195/Bridge_District_Phase_1,38.86475626,-77.00037309,1,1,1,1,,
Hampton East 2,28,"4750 Benning Rd SE
 Washington, DC 20019","4750 Benning Rd SE, Washington, DC 20019",4750 Benning Rd SE,Washington,District of Columbia,20019,https://dc.urbanturf.com/pipeline/1287/Hampton_East_2,38.8835546,-76.93215905,1,1,1,1,,
5M,651,"5 M Street SW
 Washington, DC 20003","5 M Street SW, Washington, DC 20003",5 M Street SW,Washington,District of Columbia,20003,https://dc.urbanturf.com/pipeline/1191/5M,38.87637639,-77.00953786,1,1,1,1,,
7050 Eastern Avenue NW,80,"7050 Eastern Avenue NW
 Washington, DC 20012","7050 Eastern Avenue NW, Washington, DC 20012",7050 Eastern Avenue NW,Washington,District of Columbia,20012,https://dc.urbanturf.com/pipeline/1064/7050_Eastern_Avenue_NW,38.9772098,-77.01786019,1,1,1,1,,
Cycle House,18,"1520 North Capitol Street NW
 Washington, DC 20002","1520 North Capitol Street NW, Washington, DC 20002",1520 North Capitol Street NW,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/1166/Cycle_House,38.90986143,-77.00921963,1,1,1,1,,
1801-1805 Maryland Avenue NE,28,"1801 Maryland Ave NE
 Washington, DC 20002","1801 Maryland Ave NE, Washington, DC 20002",1801 Maryland Ave NE,Washington,District of Columbia,20002,https://dc.urbanturf.com/pipeline/926/18011805_Maryland_Avenue_NE,38.9022092,-76.97750697,1,1,1,1,,
Friendship Center Redevelopment,350,"5333 Wisconsin Avenue
 Washington, DC 20015","5333 Wisconsin Avenue, Washington, DC 20015",5333 Wisconsin Avenue,Washington,District of Columbia,20015,https://dc.urbanturf.com/pipeline/1017/Friendship_Center_Redevelopment,38.95972965,-77.08456375,0.9,1,0.9,0.9,,
Deanwood Town Center,1383,"5110-5140 Nannie Helen Burroughs Avenue NE
 Washington, DC 20019","5110-5140 Nannie Helen Burroughs Avenue NE, Washington, DC 20019",5110-5140 Nannie Helen Burroughs Avenue NE,Washington,District of Columbia,20019,https://dc.urbanturf.com/pipeline/758/Deanwood_Town_Center,38.8983022,-76.9179725,0.5,1,1,,,
Manna Mixed-Use,90,"600 S Street NW
 Washington, DC 20001","600 S Street NW, Washington, DC 20001",600 S Street NW,Washington,District of Columbia,20001,https://dc.urbanturf.com/pipeline/1150/Manna_MixedUse,38.914008,-77.020055,1,1,1,1,,
Portals IV,356,"1311 Maryland Avenue SW
 Washington, DC 20024","1311 Maryland Avenue SW, Washington, DC 20024",1311 Maryland Avenue SW,Washington,District of Columbia,20024,https://dc.urbanturf.com/pipeline/1044/Portals_IV,38.88455367,-77.02897867,1,1,1,1,,
