GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ALZKE001,ALZKE002,ALZKE003,AL1LE001,AL1LE002,AL1LE003,AL1LE004,AL1LE005,AL1LE006,AL1LE007,AL1LE008,NAME_M,ALZKM001,ALZKM002,ALZKM003,AL1LM001,AL1LM002,AL1LM003,AL1LM004,AL1LM005,AL1LM006,AL1LM007,AL1LM008
"G11000100001001","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"000100","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010001001",,,"Block Group 1, Census Tract 1, District of Columbia, District of Columbia",839,727,112,408,259,33,19,14,0,226,149,"Block Group 1, Census Tract 1, District of Columbia, District of Columbia",139,124,98,102,83,37,30,21,12,78,78
"G11000100001002","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"000100","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010001002",,,"Block Group 2, Census Tract 1, District of Columbia, District of Columbia",866,740,126,376,276,29,0,29,0,247,100,"Block Group 2, Census Tract 1, District of Columbia, District of Columbia",147,128,90,99,91,33,12,33,12,95,67
"G11000100001003","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"000100","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010001003",,,"Block Group 3, Census Tract 1, District of Columbia, District of Columbia",504,465,39,323,240,40,0,40,0,200,83,"Block Group 3, Census Tract 1, District of Columbia, District of Columbia",106,105,64,94,91,35,12,35,12,84,61
"G11000100001004","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"000100","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010001004",,,"Block Group 4, Census Tract 1, District of Columbia, District of Columbia",556,448,108,257,100,44,0,44,0,56,157,"Block Group 4, Census Tract 1, District of Columbia, District of Columbia",151,108,108,90,58,50,12,50,12,37,77
"G11000100002011","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"000201","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010002011",,,"Block Group 1, Census Tract 2.01, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,"Block Group 1, Census Tract 2.01, District of Columbia, District of Columbia",12,12,12,12,12,12,12,12,12,12,12
"G11000100002021","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"000202","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010002021",,,"Block Group 1, Census Tract 2.02, District of Columbia, District of Columbia",598,545,53,457,286,52,9,43,0,234,171,"Block Group 1, Census Tract 2.02, District of Columbia, District of Columbia",114,110,49,116,80,49,14,48,12,77,89
"G11000100002022","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"000202","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010002022",,,"Block Group 2, Census Tract 2.02, District of Columbia, District of Columbia",314,295,19,225,174,0,0,0,0,174,51,"Block Group 2, Census Tract 2.02, District of Columbia, District of Columbia",81,82,24,77,82,12,12,12,12,82,42
"G11000100002023","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"000202","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010002023",,,"Block Group 3, Census Tract 2.02, District of Columbia, District of Columbia",356,310,46,135,99,0,0,0,0,99,36,"Block Group 3, Census Tract 2.02, District of Columbia, District of Columbia",96,91,44,58,49,12,12,12,12,49,36
"G11000100002024","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"000202","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010002024",,,"Block Group 4, Census Tract 2.02, District of Columbia, District of Columbia",556,488,68,337,237,38,9,29,0,199,100,"Block Group 4, Census Tract 2.02, District of Columbia, District of Columbia",111,102,73,82,79,36,14,33,12,76,60
"G11000100003001","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"000300","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010003001",,,"Block Group 1, Census Tract 3, District of Columbia, District of Columbia",590,492,98,292,220,22,22,0,0,198,72,"Block Group 1, Census Tract 3, District of Columbia, District of Columbia",116,106,91,98,92,35,35,12,12,84,57
"G11000100003002","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"000300","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010003002",,,"Block Group 2, Census Tract 3, District of Columbia, District of Columbia",679,679,0,118,105,17,0,17,0,88,13,"Block Group 2, Census Tract 3, District of Columbia, District of Columbia",118,118,12,65,61,27,12,27,12,58,20
"G11000100003003","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"000300","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010003003",,,"Block Group 3, Census Tract 3, District of Columbia, District of Columbia",557,557,0,388,240,13,0,13,0,227,148,"Block Group 3, Census Tract 3, District of Columbia, District of Columbia",108,108,12,94,80,21,12,21,12,79,74
"G11000100003004","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"000300","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010003004",,,"Block Group 4, Census Tract 3, District of Columbia, District of Columbia",682,682,0,502,400,112,8,104,0,288,102,"Block Group 4, Census Tract 3, District of Columbia, District of Columbia",110,110,12,119,114,99,14,100,12,89,55
"G11000100004001","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"000400","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010004001",,,"Block Group 1, Census Tract 4, District of Columbia, District of Columbia",227,193,34,169,85,9,5,4,0,76,84,"Block Group 1, Census Tract 4, District of Columbia, District of Columbia",45,36,36,33,30,10,7,7,12,29,30
"G11000100004002","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"000400","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010004002",,,"Block Group 2, Census Tract 4, District of Columbia, District of Columbia",485,398,87,181,120,26,6,20,0,94,61,"Block Group 2, Census Tract 4, District of Columbia, District of Columbia",49,57,52,47,37,20,9,18,12,36,34
"G11000100005011","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"000501","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010005011",,,"Block Group 1, Census Tract 5.01, District of Columbia, District of Columbia",887,631,256,208,91,23,0,23,0,68,117,"Block Group 1, Census Tract 5.01, District of Columbia, District of Columbia",119,121,145,76,51,35,12,35,12,44,64
"G11000100005012","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"000501","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010005012",,,"Block Group 2, Census Tract 5.01, District of Columbia, District of Columbia",1330,1206,124,132,74,0,0,0,0,74,58,"Block Group 2, Census Tract 5.01, District of Columbia, District of Columbia",119,114,94,55,52,12,12,12,12,52,41
"G11000100005021","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"000502","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010005021",,,"Block Group 1, Census Tract 5.02, District of Columbia, District of Columbia",872,805,67,435,286,77,0,77,0,209,149,"Block Group 1, Census Tract 5.02, District of Columbia, District of Columbia",66,77,57,66,66,44,12,44,12,64,55
"G11000100005022","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"000502","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010005022",,,"Block Group 2, Census Tract 5.02, District of Columbia, District of Columbia",904,791,113,428,288,34,0,34,0,254,140,"Block Group 2, Census Tract 5.02, District of Columbia, District of Columbia",78,89,74,62,68,32,12,32,12,67,52
"G11000100006001","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"000600","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010006001",,,"Block Group 1, Census Tract 6, District of Columbia, District of Columbia",666,666,0,349,244,19,19,0,0,225,105,"Block Group 1, Census Tract 6, District of Columbia, District of Columbia",99,99,12,81,82,29,29,12,12,79,61
"G11000100006002","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,"000600","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US110010006002",,,"Block Group 2, Census Tract 6, District of Columbia, District of Columbia",525,511,14,330,264,10,0,10,0,254,66,"Block Group 2, Census Tract 6, District of Columbia, District of Columbia",105,111,22,103,100,16,12,16,12,99,57
